Subject:	S905
Project:	BesteRTMusic
Time:	2015-03-02_13-14-35

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
333	47705.074	4328.563	1;baselinestart;1425320104954;	1	baselinestart	1425320104954	
1029	47764.047	4387.588	1;baselineend;1425320163971;	1	baselineend	1425320163971	
1103	47770.332	4393.868	8;easystart;1425320170180;	8	easystart	1425320170180	
1457	47800.333	4423.884	8;easyend;1425320200201;	8	easyend	1425320200201	
1764	47826.419	4449.908	6;easystart;1425320226301;	6	easystart	1425320226301	
2119	47856.497	4480.009	6;easyend;1425320256304;	6	easyend	1425320256304	
2425	47882.454	4505.992	21;hardstart;1425320282354;	21	hardstart	1425320282354	
2779	47912.487	4536.030	21;hardend;1425320312356;	21	hardend	1425320312356	
3087	47938.603	4562.118	22;hardstart;1425320338398;	22	hardstart	1425320338398	
3440	47968.509	4592.071	22;hardend;1425320368401;	22	hardend	1425320368401	
3748	47994.687	4618.201	9;easystart;1425320394518;	9	easystart	1425320394518	
4102	48024.672	4648.238	9;easyend;1425320424521;	9	easyend	1425320424521	
4409	48050.679	4674.242	19;hardstart;1425320450570;	19	hardstart	1425320450570	
4763	48080.709	4704.300	19;hardend;1425320480573;	19	hardend	1425320480573	
5070	48106.795	4730.347	16;hardstart;1425320506623;	16	hardstart	1425320506623	
5424	48136.812	4760.362	16;hardend;1425320536626;	16	hardend	1425320536626	
5731	48162.770	4786.388	7;easystart;1425320562677;	7	easystart	1425320562677	
6085	48192.834	4816.404	7;easyend;1425320592677;	7	easyend	1425320592677	
6657	48241.336	4864.925	23;hardstart;1425320641175;	23	hardstart	1425320641175	
7010	48271.290	4894.880	23;hardend;1425320671175;	23	hardend	1425320671175	
7321	48297.669	4921.261	15;hardstart;1425320697542;	15	hardstart	1425320697542	
7675	48327.685	4951.276	15;hardend;1425320727542;	15	hardend	1425320727542	
7982	48353.710	4977.344	13;hardstart;1425320753577;	13	hardstart	1425320753577	
8336	48383.723	5007.381	13;hardend;1425320783577;	13	hardend	1425320783577	
8643	48409.763	5033.386	20;hardstart;1425320809633;	20	hardstart	1425320809633	
8997	48439.808	5063.423	20;hardend;1425320839633;	20	hardend	1425320839633	
9304	48465.817	5089.468	2;easystart;1425320865672;	2	easystart	1425320865672	
9658	48495.831	5119.465	2;easyend;1425320895672;	2	easyend	1425320895672	
9965	48521.867	5145.531	12;easystart;1425320921707;	12	easystart	1425320921707	
10319	48551.916	5175.568	12;easyend;1425320951707;	12	easyend	1425320951707	
10626	48577.955	5201.615	18;hardstart;1425320977774;	18	hardstart	1425320977774	
10980	48607.955	5231.588	18;hardend;1425321007774;	18	hardend	1425321007774	
11287	48634.008	5257.657	3;easystart;1425321033815;	3	easystart	1425321033815	
11641	48664.038	5287.693	3;easyend;1425321063815;	3	easyend	1425321063815	
12111	48703.883	5327.561	17;hardstart;1425321103714;	17	hardstart	1425321103714	
12465	48733.883	5357.577	17;hardend;1425321133714;	17	hardend	1425321133714	
12772	48759.935	5383.581	5;easystart;1425321159753;	5	easystart	1425321159753	
13127	48789.982	5413.701	5;easyend;1425321189753;	5	easyend	1425321189753	
13433	48816.005	5439.685	10;easystart;1425321215799;	10	easystart	1425321215799	
13787	48846.007	5469.722	10;easyend;1425321245799;	10	easyend	1425321245799	
14095	48872.136	5495.811	4;easystart;1425321271848;	4	easystart	1425321271848	
14448	48902.044	5525.764	4;easyend;1425321301848;	4	easyend	1425321301848	
14755	48928.082	5551.830	14;hardstart;1425321327898;	14	hardstart	1425321327898	
15109	48958.159	5581.847	14;hardend;1425321357898;	14	hardend	1425321357898	
15416	48984.137	5607.851	11;easystart;1425321383940;	11	easystart	1425321383940	
15770	49014.136	5637.888	11;easyend;1425321413940;	11	easyend	1425321413940	
15771	49014.260	5637.972	100;experimentfinished;1425321413945;	100	experimentfinished	1425321413945	
16129	49072.871	5696.598	h;100.0;0.0	h	100.0	0.0	
16135	49073.387	5697.102	h;100.0;0.0	h	100.0	0.0	
16141	49073.870	5697.627	h;100.0;0.0	h	100.0	0.0	
16147	49074.371	5698.110	h;100.0;0.0	h	100.0	0.0	
16153	49074.933	5698.657	h;100.0;0.0	h	100.0	0.0	
16159	49075.384	5699.139	h;100.0;0.0	h	100.0	0.0	
16165	49075.915	5699.644	e;0.0;100.0	e	0.0	100.0	
16171	49076.445	5700.168	e;0.0;100.0	e	0.0	100.0	
16177	49076.928	5700.652	e;0.0;100.0	e	0.0	100.0	
16183	49077.443	5701.176	e;0.0;100.0	e	0.0	100.0	
16189	49077.911	5701.680	e;0.0;100.0	e	0.0	100.0	
16195	49078.488	5702.205	e;0.0;100.0	e	0.0	100.0	
16201	49078.971	5702.709	e;29.5;70.5	e	29.5	70.5	
16207	49079.424	5703.193	h;64.9;35.1	h	64.9	35.1	
16213	49079.954	5703.717	h;100.0;0.0	h	100.0	0.0	
16219	49080.455	5704.222	h;99.9;0.1	h	99.9	0.1	
16225	49080.984	5704.748	h;99.8;0.2	h	99.8	0.2	
16231	49081.516	5705.251	h;100.0;0.0	h	100.0	0.0	
16237	49082.031	5705.734	h;100.0;0.0	h	100.0	0.0	
16243	49082.543	5706.259	h;99.9;0.1	h	99.9	0.1	
16249	49083.044	5706.763	h;99.3;0.7	h	99.3	0.7	
16255	49083.559	5707.289	e;0.4;99.6	e	0.4	99.6	
16261	49084.027	5707.792	h;100.0;0.0	h	100.0	0.0	
16267	49084.573	5708.318	h;50.0;50.0	h	50.0	50.0	
16273	49085.040	5708.801	e;13.2;86.8	e	13.2	86.8	
16279	49085.602	5709.305	e;0.0;100.0	e	0.0	100.0	
16285	49086.104	5709.830	e;0.0;100.0	e	0.0	100.0	
16291	49086.602	5710.335	e;0.0;100.0	e	0.0	100.0	
16297	49087.086	5710.859	h;67.1;32.9	h	67.1	32.9	
16303	49087.632	5711.343	e;0.0;100.0	e	0.0	100.0	
16309	49088.113	5711.869	e;0.0;100.0	e	0.0	100.0	
16315	49088.629	5712.372	h;94.7;5.3	h	94.7	5.3	
16321	49089.114	5712.876	e;0.0;100.0	e	0.0	100.0	
16327	49089.675	5713.401	e;0.0;100.0	e	0.0	100.0	
16333	49090.142	5713.884	e;0.0;100.0	e	0.0	100.0	
16339	49090.688	5714.410	e;0.0;100.0	e	0.0	100.0	
16345	49091.156	5714.913	e;0.0;100.0	e	0.0	100.0	
16351	49091.717	5715.439	e;0.0;100.0	e	0.0	100.0	
16357	49092.202	5715.944	e;0.0;100.0	e	0.0	100.0	
16363	49092.669	5716.426	e;1.2;98.8	e	1.2	98.8	
