S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
-0.52125,-0.60238,-0.61809,-0.7175,-0.091478,-0.039252,-0.014165,0.049535,-0.061393,0.041138,-0.095805,-0.16347,-0.59601,-0.66108,-0.6984,-0.72269,-0.043618,-0.050995,-0.052188,-0.061774,-0.020892,-0.019302,-0.019537,-0.021079,-0.021597,-0.016592,-0.022227,-0.027706,-0.048715,-0.055021,-0.057342,-0.061977,15
-0.22274,-0.29127,-0.30224,-0.35905,0.023398,0.062387,0.138,0.24363,-0.085912,-0.033473,-0.142,-0.18323,-0.43139,-0.49941,-0.5901,-0.59447,-0.031043,-0.037611,-0.037287,-0.042904,-0.01863,-0.015904,-0.010411,-0.0044677,-0.017965,-0.015033,-0.023974,-0.028874,-0.041935,-0.046935,-0.054921,-0.057922,15
0.035055,0.064743,0.10391,0.1412,-0.030216,0.0043276,0.016073,0.027109,-0.012654,0.03766,0.051661,0.10645,0.092794,0.097666,0.083183,0.09675,-0.014679,-0.019302,-0.020521,-0.024043,-0.018516,-0.019632,-0.020638,-0.024255,-0.018858,-0.016955,-0.017013,-0.016096,-0.018719,-0.021171,-0.023675,-0.024561,15
-0.42316,-0.51112,-0.52852,-0.59343,0.022606,0.022734,0.053768,0.11048,0.045718,0.048895,-0.12859,-0.216,-0.55664,-0.64504,-0.67155,-0.65793,-0.031113,-0.040654,-0.043324,-0.049887,-0.0062449,-0.0091438,-0.0090351,-0.0082838,-0.0087954,-0.012115,-0.019841,-0.025268,-0.041921,-0.050859,-0.051697,-0.052519,15
0.048794,0.091974,0.1269,0.16855,-0.19317,-0.11952,-0.055576,-0.03705,-0.31523,-0.36171,-0.32914,-0.28693,0.085641,0.067673,0.029542,0.0095593,-0.0054061,-0.0070285,-0.0052148,-0.0045804,-0.012168,-0.010783,-0.0078896,-0.0078726,-0.031993,-0.037462,-0.03598,-0.034163,-0.016368,-0.019532,-0.019815,-0.02103,15
0.16798,0.26076,0.32202,0.43395,0.32774,0.39826,0.44018,0.4964,0.2907,0.31487,0.34072,0.33067,0.072481,0.092618,0.17198,0.24744,-0.00082076,0.00089522,0.0016784,0.0027144,0.021015,0.022664,0.021895,0.021003,0.019367,0.020773,0.018493,0.01623,-0.0028863,-0.0054143,-0.0017112,0.0021139,15
-0.27121,-0.34841,-0.40824,-0.48817,0.13308,0.09275,0.042246,0.0076568,0.14202,0.16579,0.10939,0.085216,-0.056601,-0.13583,-0.14917,-0.11935,-0.010222,-0.015402,-0.019298,-0.023894,0.017772,0.014201,0.0099277,0.0088327,0.017299,0.01829,0.014813,0.013856,0.0066144,0.00082336,-0.00062599,0.0012793,15
-0.2688,-0.31954,-0.30266,-0.36183,0.26553,0.26573,0.36612,0.38017,0.36084,0.50143,0.47205,0.45925,-0.24959,-0.29113,-0.24957,-0.16833,-0.022662,-0.028176,-0.028793,-0.033232,0.0095137,0.0084375,0.012407,0.013505,0.016886,0.027198,0.028111,0.027399,-0.018817,-0.020972,-0.017878,-0.013394,15
0.17596,0.20326,0.21005,0.25166,-0.28923,-0.28426,-0.27443,-0.27864,-0.10708,-0.1418,-0.15781,-0.17002,0.34164,0.36401,0.20848,0.092862,0.011632,0.012733,0.014225,0.017884,-0.023704,-0.024245,-0.025342,-0.027323,-0.018865,-0.026869,-0.023741,-0.022949,0.022831,0.022366,0.015029,0.0079826,15
0.17417,0.23769,0.28511,0.37273,0.23858,0.30608,0.38172,0.44714,0.44933,0.54961,0.53656,0.57703,0.36827,0.42491,0.42387,0.48373,-0.00076003,0.0013025,0.0045317,0.00855,0.0055212,0.0080576,0.010844,0.011775,0.0020213,0.0020136,0.00066726,0.0032069,0.0016374,0.0020822,0.002188,0.0067307,15
-0.10175,-0.12304,-0.099015,-0.079541,-0.25942,-0.26146,-0.25422,-0.27785,-0.28316,-0.31921,-0.32244,-0.33716,-0.19818,-0.19822,-0.2272,-0.24427,-0.021528,-0.028545,-0.029021,-0.030999,-0.023756,-0.028236,-0.030422,-0.034834,-0.034708,-0.041016,-0.042582,-0.045709,-0.031556,-0.03648,-0.039109,-0.042574,15
-0.18562,-0.2956,-0.39253,-0.34266,-0.57863,-0.63851,-0.65843,-0.54654,-0.31032,-0.28009,-0.47958,-0.38634,-0.021402,-0.075798,-0.28835,-0.37382,0.0029219,-0.00020224,-0.0059327,-0.00052343,-0.034377,-0.036223,-0.035821,-0.030949,-0.024464,-0.02413,-0.031089,-0.024583,0.020236,0.021008,0.0076787,0.00091574,17
-0.013173,-0.057347,-0.095873,-0.14279,0.24827,0.25144,0.29152,0.35835,0.19506,0.18153,0.027064,0.039216,-0.054765,-0.0962,-0.21631,-0.17324,0.0039985,0.0022552,-0.00083568,-0.0040802,0.010104,0.0094337,0.0096109,0.008966,-0.00068668,-0.0017296,-0.0080115,-0.0088976,0.00090308,-0.0023282,-0.009091,-0.010268,17
0.89801,1.0897,1.1352,1.3119,0.56978,0.60316,0.65821,0.752,0.25008,0.28877,0.48231,0.60229,1.2082,1.2884,1.3413,1.3726,0.059452,0.071417,0.075376,0.086274,0.022451,0.022235,0.023762,0.025655,-0.0073306,-0.010746,0.0048819,0.01378,0.076849,0.080218,0.082203,0.081276,17
0.03255,0.061667,0.068405,0.10155,-0.33247,-0.3376,-0.28156,-0.22417,-0.30101,-0.28333,-0.18744,-0.17037,0.16955,0.22889,0.19659,0.15379,0.0021384,0.0041183,0.0046178,0.0070889,-0.030575,-0.031613,-0.028301,-0.026795,-0.029954,-0.029586,-0.021196,-0.020999,0.01161,0.017657,0.015587,0.0088539,17
0.072057,0.017164,-0.012475,0.024778,0.31743,0.31512,0.37743,0.46992,0.43015,0.69367,0.626,0.61165,-0.30203,-0.22549,-0.21943,-0.17783,0.0068803,0.0052064,0.0025794,0.0047741,0.021399,0.021567,0.024487,0.028773,0.036035,0.051199,0.047207,0.045718,-0.0075431,-0.0041997,-0.0044293,-0.0016346,17
0.23927,0.3286,0.38019,0.44735,0.21074,0.29331,0.37941,0.52508,0.10587,0.13123,0.036423,0.063657,0.28301,0.31369,0.20799,0.19721,0.0056126,0.0075828,0.0085869,0.0097443,-0.0066033,-0.0049292,-0.0034463,-0.00095767,-0.025057,-0.029019,-0.034458,-0.033699,-0.0015472,-0.0026566,-0.011402,-0.017117,17
0.16723,0.25209,0.31311,0.41998,0.17218,0.2712,0.37124,0.5462,-0.054116,0.011329,-0.0045034,0.044193,0.075023,0.10981,0.033419,0.078817,-0.0010895,0.00032864,0.0014316,0.0040433,-0.005024,-0.001408,0.0012791,0.0065678,-0.017082,-0.01257,-0.013801,-0.011893,-0.013416,-0.012875,-0.019351,-0.017092,17
0.18156,0.1797,0.22955,0.28907,0.19305,0.21607,0.30157,0.43726,0.0038963,0.039071,0.071458,0.089118,0.13238,0.17204,0.16421,0.19515,0.011129,0.0086251,0.0105,0.012963,0.012754,0.011829,0.014873,0.022242,0.0046798,0.0087835,0.012651,0.013766,0.012477,0.013742,0.012865,0.015369,17
-0.37038,-0.5128,-0.47354,-0.48201,-0.012918,-0.11449,-0.028778,0.033663,-0.19722,-0.15519,-0.20739,-0.20395,-0.89549,-0.94291,-0.88698,-0.7782,-0.034343,-0.047055,-0.049183,-0.050888,0.0061545,-0.0026572,-0.0010888,0.0033875,-0.0035059,0.0018126,-0.0061278,-0.010147,-0.071119,-0.075534,-0.071989,-0.064849,17
0.3602,0.42456,0.48528,0.59921,0.11233,0.11795,0.2072,0.27502,0.33761,0.42322,0.36513,0.33452,0.4922,0.5142,0.41357,0.33674,0.021825,0.028676,0.032745,0.039832,-0.0046233,-0.0020724,0.0025841,0.0044973,0.011718,0.015986,0.013362,0.010483,0.034142,0.037702,0.030522,0.023598,17
0.29153,0.37355,0.39767,0.45049,0.20053,0.25893,0.29091,0.34328,0.32492,0.37241,0.39336,0.42615,0.39893,0.47033,0.49422,0.51801,0.011957,0.015397,0.016501,0.018749,0.0081325,0.010575,0.011996,0.014146,0.012864,0.014704,0.015535,0.016907,0.016129,0.019045,0.019973,0.021027,17
