Subject:	S903
Project:	BesteRTMusic
Time:	2015-02-27_13-20-42

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
420	48078.841	4595.725	1;baselinestart;1425061278767;	1	baselinestart	1425061278767	
1116	48137.867	4654.748	1;baselineend;1425061337787;	1	baselineend	1425061337787	
1193	48144.389	4661.303	21;hardstart;1425061344301;	21	hardstart	1425061344301	
1546	48174.369	4691.213	21;hardend;1425061374313;	21	hardend	1425061374313	
1855	48200.515	4717.427	22;hardstart;1425061400451;	22	hardstart	1425061400451	
2209	48230.526	4747.465	22;hardend;1425061430454;	22	hardend	1425061430454	
2516	48256.592	4773.532	4;easystart;1425061456497;	4	easystart	1425061456497	
2869	48286.544	4803.464	4;easyend;1425061486500;	4	easyend	1425061486500	
3177	48312.626	4829.573	19;hardstart;1425061512574;	19	hardstart	1425061512574	
3531	48342.655	4859.611	19;hardend;1425061542577;	19	hardend	1425061542577	
3838	48368.690	4885.656	12;easystart;1425061568643;	12	easystart	1425061568643	
4192	48398.749	4915.694	12;easyend;1425061598646;	12	easyend	1425061598646	
4500	48424.769	4941.782	8;easystart;1425061624730;	8	easystart	1425061624730	
4854	48454.844	4971.818	8;easyend;1425061654733;	8	easyend	1425061654733	
5161	48480.846	4997.866	20;hardstart;1425061680824;	20	hardstart	1425061680824	
5515	48510.923	5027.902	20;hardend;1425061710827;	20	hardend	1425061710827	
5822	48536.927	5053.907	16;hardstart;1425061736886;	16	hardstart	1425061736886	
6176	48566.955	5083.944	16;hardend;1425061766889;	16	hardend	1425061766889	
6663	48608.198	5125.239	23;hardstart;1425061808133;	23	hardstart	1425061808133	
7017	48638.259	5155.276	23;hardend;1425061838136;	23	hardend	1425061838136	
7323	48664.217	5181.260	14;hardstart;1425061864189;	14	hardstart	1425061864189	
7677	48694.227	5211.275	14;hardend;1425061894192;	14	hardend	1425061894192	
7985	48720.294	5237.386	10;easystart;1425061920266;	10	easystart	1425061920266	
8339	48750.291	5267.401	10;easyend;1425061950269;	10	easyend	1425061950269	
8646	48776.357	5293.468	9;easystart;1425061976332;	9	easystart	1425061976332	
8999	48806.339	5323.421	9;easyend;1425062006335;	9	easyend	1425062006335	
9307	48832.423	5349.510	15;hardstart;1425062032395;	15	hardstart	1425062032395	
9661	48862.420	5379.547	15;hardend;1425062062398;	15	hardend	1425062062398	
9968	48888.453	5405.592	18;hardstart;1425062088454;	18	hardstart	1425062088454	
10322	48918.498	5435.631	18;hardend;1425062118457;	18	hardend	1425062118457	
10629	48944.517	5461.655	6;easystart;1425062144507;	6	easystart	1425062144507	
10983	48974.563	5491.672	6;easyend;1425062174510;	6	easyend	1425062174510	
11290	49000.596	5517.739	11;easystart;1425062200564;	11	easystart	1425062200564	
11644	49030.580	5547.754	11;easyend;1425062230567;	11	easyend	1425062230567	
12010	49061.591	5578.778	13;hardstart;1425062261603;	13	hardstart	1425062261603	
12363	49091.587	5608.733	13;hardend;1425062291606;	13	hardend	1425062291606	
12671	49117.700	5634.862	7;easystart;1425062317682;	7	easystart	1425062317682	
13025	49147.696	5664.901	7;easyend;1425062347685;	7	easyend	1425062347685	
13332	49173.749	5690.904	5;easystart;1425062373735;	5	easystart	1425062373735	
13686	49203.760	5720.941	5;easyend;1425062403738;	5	easyend	1425062403738	
13993	49229.795	5746.988	3;easystart;1425062429790;	3	easystart	1425062429790	
14347	49259.792	5777.024	3;easyend;1425062459794;	3	easyend	1425062459794	
14654	49285.827	5803.050	2;easystart;1425062485839;	2	easystart	1425062485839	
15008	49315.828	5833.065	2;easyend;1425062515842;	2	easyend	1425062515842	
15315	49341.893	5859.133	17;hardstart;1425062541889;	17	hardstart	1425062541889	
15668	49371.858	5889.023	17;hardend;1425062571892;	17	hardend	1425062571892	
15669	49371.919	5889.170	100;experimentfinished;1425062571897;	100	experimentfinished	1425062571897	
16027	49427.624	5944.876	h;97.5;2.5	h	97.5	2.5	
16033	49428.077	5945.359	h;69.7;30.3	h	69.7	30.3	
16039	49428.656	5945.905	h;97.4;2.6	h	97.4	2.6	
16045	49429.122	5946.408	h;73.2;26.8	h	73.2	26.8	
16051	49429.654	5946.891	h;74.0;26.0	h	74.0	26.0	
16057	49430.182	5947.417	h;73.3;26.7	h	73.3	26.7	
16063	49430.651	5947.899	e;23.1;76.9	e	23.1	76.9	
16069	49431.167	5948.446	e;19.6;80.4	e	19.6	80.4	
16076	49431.714	5949.012	e;44.4;55.6	e	44.4	55.6	
16081	49432.181	5949.475	h;90.2;9.8	h	90.2	9.8	
16087	49432.710	5949.959	h;82.0;18.0	h	82.0	18.0	
16093	49433.196	5950.441	h;51.1;48.9	h	51.1	48.9	
16099	49433.708	5950.987	h;99.2;0.8	h	99.2	0.8	
16105	49434.193	5951.471	h;100.0;0.0	h	100.0	0.0	
16111	49434.737	5952.016	h;97.8;2.2	h	97.8	2.2	
16117	49435.254	5952.500	h;86.6;13.4	h	86.6	13.4	
16123	49435.785	5952.984	h;99.0;1.0	h	99.0	1.0	
16129	49436.266	5953.529	e;28.7;71.3	e	28.7	71.3	
16135	49436.783	5954.012	h;99.9;0.1	h	99.9	0.1	
16141	49437.280	5954.559	h;94.0;6.0	h	94.0	6.0	
16147	49437.779	5955.041	h;71.2;28.8	h	71.2	28.8	
16153	49438.325	5955.567	h;50.0;50.0	h	50.0	50.0	
16159	49438.781	5956.072	h;99.1;0.9	h	99.1	0.9	
16165	49439.277	5956.554	e;0.4;99.6	e	0.4	99.6	
16171	49439.839	5957.080	e;0.0;100.0	e	0.0	100.0	
16177	49440.292	5957.583	e;26.7;73.3	e	26.7	73.3	
16183	49440.854	5958.108	e;0.0;100.0	e	0.0	100.0	
16189	49441.305	5958.592	h;96.3;3.7	h	96.3	3.7	
16195	49441.868	5959.137	e;0.4;99.6	e	0.4	99.6	
16201	49442.350	5959.642	e;0.0;100.0	e	0.0	100.0	
16207	49442.836	5960.126	e;0.3;99.7	e	0.3	99.7	
16213	49443.364	5960.650	h;88.3;11.7	h	88.3	11.7	
16219	49443.894	5961.133	h;63.8;36.2	h	63.8	36.2	
16225	49444.378	5961.680	e;1.0;99.0	e	1.0	99.0	
16231	49444.910	5962.162	h;98.5;1.5	h	98.5	1.5	
16237	49445.423	5962.646	e;34.7;65.3	e	34.7	65.3	
16243	49445.906	5963.191	e;1.3;98.7	e	1.3	98.7	
16249	49446.392	5963.674	h;98.2;1.8	h	98.2	1.8	
16255	49446.953	5964.220	e;23.9;76.1	e	23.9	76.1	
16261	49447.451	5964.704	h;97.0;3.0	h	97.0	3.0	
16267	49448.012	5965.249	e;0.0;100.0	e	0.0	100.0	
16273	49448.465	5965.733	e;0.0;100.0	e	0.0	100.0	
16279	49448.980	5966.216	e;0.7;99.3	e	0.7	99.3	
16285	49449.495	5966.762	e;0.5;99.5	e	0.5	99.5	
16291	49449.980	5967.245	h;98.3;1.7	h	98.3	1.7	
16297	49450.508	5967.792	e;0.5;99.5	e	0.5	99.5	
16304	49451.101	5968.358	h;77.7;22.3	h	77.7	22.3	
16309	49451.524	5968.800	e;49.4;50.6	e	49.4	50.6	
16315	49452.068	5969.304	e;39.8;60.2	e	39.8	60.2	
16321	49452.536	5969.787	e;4.0;96.0	e	4.0	96.0	
16327	49453.084	5970.312	e;0.9;99.1	e	0.9	99.1	
16333	49453.551	5970.817	e;0.7;99.3	e	0.7	99.3	
16339	49454.113	5971.341	e;0.8;99.2	e	0.8	99.2	
16346	49454.660	5971.909	e;0.8;99.2	e	0.8	99.2	
16351	49455.110	5972.328	e;0.8;99.2	e	0.8	99.2	
16357	49455.611	5972.854	e;2.7;97.3	e	2.7	97.3	
16363	49456.096	5973.337	h;88.7;11.3	h	88.7	11.3	
16369	49456.640	5973.883	h;72.6;27.4	h	72.6	27.4	
16375	49457.124	5974.366	h;95.8;4.2	h	95.8	4.2	
16381	49457.622	5974.913	h;95.7;4.3	h	95.7	4.3	
16387	49458.136	5975.395	h;95.8;4.2	h	95.8	4.2	
16393	49458.699	5975.879	h;73.9;26.1	h	73.9	26.1	
16399	49459.183	5976.425	h;74.3;25.7	h	74.3	25.7	
16405	49459.618	5976.908	h;95.8;4.2	h	95.8	4.2	
16411	49460.162	5977.454	h;95.8;4.2	h	95.8	4.2	
16417	49460.632	5977.938	h;98.4;1.6	h	98.4	1.6	
16423	49461.244	5978.462	h;96.3;3.7	h	96.3	3.7	
16429	49461.677	5978.967	h;73.2;26.8	h	73.2	26.8	
16435	49462.161	5979.450	h;73.0;27.0	h	73.0	27.0	
16441	49462.723	5979.996	h;73.1;26.9	h	73.1	26.9	
16447	49463.208	5980.479	h;73.3;26.7	h	73.3	26.7	
