Subject:	S1109
Project:	BesteRTMusic
Time:	2015-03-24_15-12-37

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
153	54770.729	17261.940	1;baselinestart;1427224370676;	1	baselinestart	1427224370676	
850	54829.780	17321.050	1;baselineend;1427224429680;	1	baselineend	1427224429680	
923	54836.049	17327.290	5;easystart;1427224435924;	5	easystart	1427224435924	
1277	54866.005	17357.280	5;easyend;1427224465928;	5	easyend	1427224465928	
1586	54892.204	17383.500	16;hardstart;1427224492058;	16	hardstart	1427224492058	
1938	54922.073	17413.370	16;hardend;1427224522061;	16	hardend	1427224522061	
2246	54948.225	17439.500	4;easystart;1427224548144;	4	easystart	1427224548144	
2600	54978.243	17469.490	4;easyend;1427224578147;	4	easyend	1427224578147	
2907	55004.255	17495.540	11;easystart;1427224604223;	11	easystart	1427224604223	
3262	55034.381	17525.660	11;easyend;1427224634226;	11	easyend	1427224634226	
3568	55060.286	17551.640	19;hardstart;1427224660278;	19	hardstart	1427224660278	
3922	55090.351	17581.620	19;hardend;1427224690281;	19	hardend	1427224690281	
4230	55116.356	17607.770	15;hardstart;1427224716335;	15	hardstart	1427224716335	
4584	55146.471	17637.790	15;hardend;1427224746337;	15	hardend	1427224746337	
4891	55172.541	17663.850	20;hardstart;1427224772416;	20	hardstart	1427224772416	
5245	55202.529	17693.850	20;hardend;1427224802419;	20	hardend	1427224802419	
5552	55228.534	17719.900	8;easystart;1427224828481;	8	easystart	1427224828481	
5907	55258.630	17749.990	8;easyend;1427224858484;	8	easyend	1427224858484	
6413	55301.588	17792.930	12;easystart;1427224901554;	12	easystart	1427224901554	
6768	55331.665	17823.050	12;easyend;1427224931557;	12	easyend	1427224931557	
7076	55357.738	17849.160	3;easystart;1427224957639;	3	easystart	1427224957639	
7428	55387.628	17879.030	3;easyend;1427224987641;	3	easyend	1427224987641	
7736	55413.732	17905.160	22;hardstart;1427225013696;	22	hardstart	1427225013696	
8090	55443.786	17935.150	22;hardend;1427225043699;	22	hardend	1427225043699	
8396	55469.728	17961.120	17;hardstart;1427225069754;	17	hardstart	1427225069754	
8750	55499.789	17991.150	17;hardend;1427225099756;	17	hardend	1427225099756	
9059	55525.904	18017.370	2;easystart;1427225125811;	2	easystart	1427225125811	
9412	55555.856	18047.280	2;easyend;1427225155813;	2	easyend	1427225155813	
9720	55581.970	18073.430	9;easystart;1427225181865;	9	easystart	1427225181865	
10073	55611.947	18103.360	9;easyend;1427225211868;	9	easyend	1427225211868	
10380	55637.980	18129.430	7;easystart;1427225237924;	7	easystart	1427225237924	
10735	55668.002	18159.490	7;easyend;1427225267926;	7	easyend	1427225267926	
11042	55694.051	18185.560	23;hardstart;1427225293990;	23	hardstart	1427225293990	
11395	55724.012	18215.510	23;hardend;1427225323992;	23	hardend	1427225323992	
11877	55764.935	18256.380	21;hardstart;1427225364831;	21	hardstart	1427225364831	
12230	55794.856	18286.340	21;hardend;1427225394834;	21	hardend	1427225394834	
12538	55820.901	18312.430	14;hardstart;1427225420877;	14	hardstart	1427225420877	
12892	55850.959	18342.460	14;hardend;1427225450880;	14	hardend	1427225450880	
13199	55876.975	18368.510	13;hardstart;1427225476938;	13	hardstart	1427225476938	
13552	55906.967	18398.460	13;hardend;1427225506941;	13	hardend	1427225506941	
13859	55932.986	18424.490	10;easystart;1427225532995;	10	easystart	1427225532995	
14213	55962.993	18454.520	10;easyend;1427225562998;	10	easyend	1427225562998	
14520	55989.027	18480.570	6;easystart;1427225589077;	6	easystart	1427225589077	
14874	56019.087	18510.560	6;easyend;1427225619080;	6	easyend	1427225619080	
15182	56045.122	18536.700	18;hardstart;1427225645136;	18	hardstart	1427225645136	
15536	56075.176	18566.730	18;hardend;1427225675139;	18	hardend	1427225675139	
15537	56075.204	18566.820	100;experimentfinished;1427225675144;	100	experimentfinished	1427225675144	
15895	56129.332	18620.930	h;99.2;0.8	h	99.2	0.8	
15901	56129.830	18621.430	h;85.5;14.5	h	85.5	14.5	
15907	56130.325	18621.960	h;99.2;0.8	h	99.2	0.8	
15913	56130.848	18622.440	e;29.2;70.8	e	29.2	70.8	
15919	56131.401	18622.990	e;4.3;95.7	e	4.3	95.7	
15925	56131.885	18623.470	e;9.8;90.2	e	9.8	90.2	
15931	56132.467	18624.010	h;76.4;23.6	h	76.4	23.6	
15937	56132.887	18624.500	h;77.0;23.0	h	77.0	23.0	
15943	56133.407	18624.980	e;1.2;98.8	e	1.2	98.8	
15949	56133.880	18625.530	h;90.3;9.7	h	90.3	9.7	
15955	56134.365	18626.010	e;2.7;97.3	e	2.7	97.3	
15961	56135.008	18626.530	e;44.0;56.0	e	44.0	56.0	
15967	56135.454	18627.040	e;45.2;54.8	e	45.2	54.8	
15973	56135.953	18627.520	e;26.4;73.6	e	26.4	73.6	
15979	56136.509	18628.070	h;59.2;40.8	h	59.2	40.8	
15985	56136.954	18628.550	e;15.7;84.3	e	15.7	84.3	
15991	56137.472	18629.080	e;16.0;84.0	e	16.0	84.0	
15997	56138.039	18629.580	e;40.0;60.0	e	40.0	60.0	
16003	56138.576	18630.100	e;44.8;55.2	e	44.8	55.2	
16009	56139.014	18630.590	e;46.1;53.9	e	46.1	53.9	
16015	56139.542	18631.090	e;46.4;53.6	e	46.4	53.6	
16021	56140.016	18631.620	e;46.4;53.6	e	46.4	53.6	
16027	56140.576	18632.120	h;67.8;32.2	h	67.8	32.2	
16033	56141.039	18632.650	e;10.9;89.1	e	10.9	89.1	
16039	56141.553	18633.130	e;3.3;96.7	e	3.3	96.7	
16045	56142.053	18633.680	h;99.5;0.5	h	99.5	0.5	
16051	56142.565	18634.160	h;99.4;0.6	h	99.4	0.6	
16064	56143.610	18635.270	e;12.2;87.8	e	12.2	87.8	
16069	56144.164	18635.670	h;97.8;2.2	h	97.8	2.2	
16081	56145.133	18636.700	h;84.1;15.9	h	84.1	15.9	
16087	56145.653	18637.200	h;99.9;0.1	h	99.9	0.1	
16093	56146.134	18637.730	e;2.2;97.8	e	2.2	97.8	
16099	56146.621	18638.210	e;0.5;99.5	e	0.5	99.5	
16105	56147.158	18638.740	h;84.3;15.7	h	84.3	15.7	
16117	56148.223	18639.790	h;95.0;5.0	h	95.0	5.0	
16123	56148.663	18640.270	e;0.0;100.0	e	0.0	100.0	
16135	56149.719	18641.280	e;16.6;83.4	e	16.6	83.4	
16141	56150.137	18641.780	e;16.0;84.0	e	16.0	84.0	
16147	56150.722	18642.310	h;97.0;3.0	h	97.0	3.0	
16153	56151.227	18642.810	h;95.5;4.5	h	95.5	4.5	
16160	56151.811	18643.420	e;9.5;90.5	e	9.5	90.5	
16165	56152.234	18643.820	h;99.7;0.3	h	99.7	0.3	
16171	56152.702	18644.330	h;99.4;0.6	h	99.4	0.6	
16177	56153.214	18644.850	e;44.9;55.1	e	44.9	55.1	
16183	56153.685	18645.360	e;12.7;87.3	e	12.7	87.3	
16195	56154.712	18646.360	e;46.8;53.2	e	46.8	53.2	
16201	56155.310	18646.870	e;46.3;53.7	e	46.3	53.7	
16208	56155.873	18647.470	h;98.3;1.7	h	98.3	1.7	
16213	56156.310	18647.900	h;98.3;1.7	h	98.3	1.7	
16219	56156.832	18648.420	e;10.2;89.8	e	10.2	89.8	
16225	56157.284	18648.900	e;16.8;83.2	e	16.8	83.2	
16232	56157.933	18649.530	e;5.2;94.8	e	5.2	94.8	
16238	56158.368	18650.020	e;45.8;54.2	e	45.8	54.2	
16243	56158.854	18650.440	e;44.3;55.7	e	44.3	55.7	
16250	56159.399	18651.050	h;97.4;2.6	h	97.4	2.6	
16255	56159.807	18651.450	e;3.4;96.6	e	3.4	96.6	
16261	56160.347	18651.990	e;0.6;99.4	e	0.6	99.4	
16267	56160.891	18652.470	e;2.4;97.6	e	2.4	97.6	
16273	56161.370	18653.020	h;99.8;0.2	h	99.8	0.2	
16291	56162.927	18654.510	e;0.0;100.0	e	0.0	100.0	
16298	56163.483	18655.100	e;0.0;100.0	e	0.0	100.0	
16303	56164.008	18655.560	e;3.2;96.8	e	3.2	96.8	
16309	56164.404	18656.050	e;10.4;89.6	e	10.4	89.6	
