Subject:	S1117
Project:	BesteRTMusic
Time:	2015-04-08_11-10-23

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
394	40257.285	5681.851	1;baselinestart;1428505857345;	1	baselinestart	1428505857345	
1091	40316.318	5740.958	1;baselineend;1428505916350;	1	baselineend	1428505916350	
1163	40322.441	5747.071	17;hardstart;1428505922595;	17	hardstart	1428505922595	
1517	40352.480	5777.109	17;hardend;1428505952597;	17	hardend	1428505952597	
1826	40378.641	5803.281	13;hardstart;1428505978698;	13	hardstart	1428505978698	
2180	40408.650	5833.317	13;hardend;1428506008700;	13	hardend	1428506008700	
2486	40434.628	5859.301	5;easystart;1428506034794;	5	easystart	1428506034794	
2841	40464.724	5889.401	5;easyend;1428506064795;	5	easyend	1428506064795	
3147	40490.722	5915.343	9;easystart;1428506090846;	9	easystart	1428506090846	
3501	40520.710	5945.359	9;easyend;1428506120848;	9	easyend	1428506120848	
3809	40546.850	5971.509	19;hardstart;1428506146893;	19	hardstart	1428506146893	
4162	40576.762	6001.462	19;hardend;1428506176895;	19	hardend	1428506176895	
4470	40602.865	6027.551	15;hardstart;1428506202974;	15	hardstart	1428506202974	
4824	40632.894	6057.588	15;hardend;1428506232975;	15	hardend	1428506232975	
5131	40658.935	6083.635	18;hardstart;1428506259036;	18	hardstart	1428506259036	
5485	40688.966	6113.672	18;hardend;1428506289038;	18	hardend	1428506289038	
5792	40714.949	6139.675	21;hardstart;1428506315083;	21	hardstart	1428506315083	
6146	40745.014	6169.713	21;hardend;1428506345084;	21	hardend	1428506345084	
6539	40778.344	6203.069	3;easystart;1428506378380;	3	easystart	1428506378380	
6892	40808.209	6233.000	3;easyend;1428506408382;	3	easyend	1428506408382	
7200	40834.377	6259.111	23;hardstart;1428506434437;	23	hardstart	1428506434437	
7553	40864.293	6289.063	23;hardend;1428506464442;	23	hardend	1428506464442	
7860	40890.363	6315.109	4;easystart;1428506490506;	4	easystart	1428506490506	
8214	40920.378	6345.147	4;easyend;1428506520507;	4	easyend	1428506520507	
8522	40946.495	6371.234	11;easystart;1428506546555;	11	easystart	1428506546555	
8876	40976.505	6401.271	11;easyend;1428506576557;	11	easyend	1428506576557	
9183	41002.545	6427.318	10;easystart;1428506602600;	10	easystart	1428506602600	
9537	41032.484	6457.355	10;easyend;1428506632602;	10	easyend	1428506632602	
9844	41058.617	6483.381	6;easystart;1428506658648;	6	easystart	1428506658648	
10198	41088.593	6513.397	6;easyend;1428506688650;	6	easyend	1428506688650	
10504	41114.594	6539.380	7;easystart;1428506714706;	7	easystart	1428506714706	
10858	41144.615	6569.374	7;easyend;1428506744708;	7	easyend	1428506744708	
11166	41170.711	6595.505	8;easystart;1428506770754;	8	easystart	1428506770754	
11520	41200.654	6625.542	8;easyend;1428506800754;	8	easyend	1428506800754	
11858	41229.373	6654.214	20;hardstart;1428506829542;	20	hardstart	1428506829542	
