Subject:	S1102
Project:	BesteRTMusic
Time:	2015-03-10_17-30-15

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
184	63031.680	32518.630	1;baselinestart;1426023031612;	1	baselinestart	1426023031612	
879	63090.595	32577.600	1;baselineend;1426023090616;	1	baselineend	1426023090616	
952	63096.822	32583.770	20;hardstart;1426023096818;	20	hardstart	1426023096818	
1307	63126.911	32613.890	20;hardend;1426023126825;	20	hardend	1426023126825	
1614	63152.916	32639.940	16;hardstart;1426023152887;	16	hardstart	1426023152887	
1968	63182.928	32669.970	16;hardend;1426023182890;	16	hardend	1426023182890	
2275	63208.962	32696.000	18;hardstart;1426023208976;	18	hardstart	1426023208976	
2629	63238.960	32726.020	18;hardend;1426023238978;	18	hardend	1426023238978	
2936	63265.012	32752.080	23;hardstart;1426023265014;	23	hardstart	1426023265014	
3290	63295.007	32782.100	23;hardend;1426023295017;	23	hardend	1426023295017	
3597	63321.074	32808.130	15;hardstart;1426023321054;	15	hardstart	1426023321054	
3951	63351.086	32838.160	15;hardend;1426023351057;	15	hardend	1426023351057	
4257	63377.074	32864.130	2;easystart;1426023377108;	2	easystart	1426023377108	
4612	63407.120	32894.250	2;easyend;1426023407111;	2	easyend	1426023407111	
4919	63433.170	32920.250	3;easystart;1426023433194;	3	easystart	1426023433194	
5273	63463.200	32950.290	3;easyend;1426023463197;	3	easyend	1426023463197	
5580	63489.235	32976.330	11;easystart;1426023489233;	11	easystart	1426023489233	
5933	63519.167	33006.290	11;easyend;1426023519237;	11	easyend	1426023519237	
6771	63590.224	33077.370	9;easystart;1426023590246;	9	easystart	1426023590246	
7124	63620.191	33107.280	9;easyend;1426023620249;	9	easyend	1426023620249	
7432	63646.286	33133.430	4;easystart;1426023646284;	4	easystart	1426023646284	
7786	63676.267	33163.450	4;easyend;1426023676287;	4	easyend	1426023676287	
8092	63702.271	33189.390	14;hardstart;1426023702324;	14	hardstart	1426023702324	
8447	63732.331	33219.490	14;hardend;1426023732327;	14	hardend	1426023732327	
8754	63758.397	33245.550	17;hardstart;1426023758360;	17	hardstart	1426023758360	
9107	63788.301	33275.510	17;hardend;1426023788363;	17	hardend	1426023788363	
9414	63814.369	33301.510	19;hardstart;1426023814404;	19	hardstart	1426023814404	
9768	63844.367	33331.550	19;hardend;1426023844407;	19	hardend	1426023844407	
10075	63870.386	33357.590	13;hardstart;1426023870440;	13	hardstart	1426023870440	
10429	63900.384	33387.630	13;hardend;1426023900443;	13	hardend	1426023900443	
10736	63926.434	33413.640	21;hardstart;1426023926490;	21	hardstart	1426023926490	
