Subject:	S901
Project:	BesteRTMusic
Time:	2015-02-25_11-14-14

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
263	40477.329	3205.468	1;baselinestart;1424880877494;	1	baselinestart	1424880877494	
959	40536.451	3264.514	1;baselineend;1424880936539;	1	baselineend	1424880936539	
1033	40542.661	3270.773	8;easystart;1424880942764;	8	easystart	1424880942764	
1386	40572.673	3300.726	8;easyend;1424880972768;	8	easyend	1424880972768	
1694	40598.770	3326.814	9;easystart;1424880998884;	9	easystart	1424880998884	
2048	40628.781	3356.852	9;easyend;1424881028887;	9	easyend	1424881028887	
2356	40654.906	3382.982	6;easystart;1424881054935;	6	easystart	1424881054935	
2709	40684.905	3412.935	6;easyend;1424881084938;	6	easyend	1424881084938	
3017	40711.031	3439.023	20;hardstart;1424881111052;	20	hardstart	1424881111052	
3371	40741.041	3469.061	20;hardend;1424881141055;	20	hardend	1424881141055	
3678	40767.089	3495.107	2;easystart;1424881167110;	2	easystart	1424881167110	
4032	40797.093	3525.164	2;easyend;1424881197113;	2	easyend	1424881197113	
4340	40823.258	3551.253	11;easystart;1424881223154;	11	easystart	1424881223154	
4693	40853.153	3581.206	11;easyend;1424881253157;	11	easyend	1424881253157	
5001	40879.258	3607.336	10;easystart;1424881279239;	10	easystart	1424881279239	
5354	40909.260	3637.269	10;easyend;1424881309242;	10	easyend	1424881309242	
5662	40935.377	3663.377	13;hardstart;1424881335289;	13	hardstart	1424881335289	
6015	40965.302	3693.330	13;hardend;1424881365292;	13	hardend	1424881365292	
6462	41003.200	3731.265	22;hardstart;1424881403200;	22	hardstart	1424881403200	
6816	41033.219	3761.303	22;hardend;1424881433203;	22	hardend	1424881433203	
7123	41059.274	3787.307	15;hardstart;1424881459256;	15	hardstart	1424881459256	
7477	41089.292	3817.344	15;hardend;1424881489259;	15	hardend	1424881489259	
7784	41115.298	3843.391	12;easystart;1424881515305;	12	easystart	1424881515305	
8138	41145.345	3873.427	12;easyend;1424881545308;	12	easyend	1424881545308	
8446	41171.448	3899.517	23;hardstart;1424881571368;	23	hardstart	1424881571368	
8799	41201.415	3929.469	23;hardend;1424881601371;	23	hardend	1424881601371	
9106	41227.452	3955.536	16;hardstart;1424881627424;	16	hardstart	1424881627424	
9460	41257.421	3985.510	16;hardend;1424881657427;	16	hardend	1424881657427	
9767	41283.478	4011.577	14;hardstart;1424881683476;	14	hardstart	1424881683476	
10121	41313.522	4041.614	14;hardend;1424881713479;	14	hardend	1424881713479	
10428	41339.528	4067.660	3;easystart;1424881739531;	3	easystart	1424881739531	
10782	41369.606	4097.656	3;easyend;1424881769535;	3	easyend	1424881769535	
11090	41395.644	4123.786	19;hardstart;1424881795582;	19	hardstart	1424881795582	
11443	41425.615	4153.739	19;hardend;1424881825585;	19	hardend	1424881825585	
12247	41493.851	4221.900	21;hardstart;1424881893730;	21	hardstart	1424881893730	
