Subject:	S1119
Project:	BesteRTMusic
Time:	2015-04-10_11-12-03

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
229	40344.029	3054.672	1;baselinestart;1428678743863;	1	baselinestart	1428678743863	
997	40409.096	3119.809	9;easystart;1428678809038;	9	easystart	1428678809038	
1351	40439.091	3149.825	9;easyend;1428678839041;	9	easyend	1428678839041	
1659	40465.213	3175.935	2;easystart;1428678865179;	2	easystart	1428678865179	
2013	40495.230	3205.950	2;easyend;1428678895181;	2	easyend	1428678895181	
2320	40521.284	3232.019	15;hardstart;1428678921235;	15	hardstart	1428678921235	
2673	40551.255	3261.971	15;hardend;1428678951238;	15	hardend	1428678951238	
2982	40577.365	3288.143	6;easystart;1428678977295;	6	easystart	1428678977295	
3335	40607.344	3318.096	6;easyend;1428679007298;	6	easyend	1428679007298	
3642	40633.390	3344.142	3;easystart;1428679033355;	3	easystart	1428679033355	
4304	40689.516	3400.268	4;easystart;1428679089408;	4	easystart	1428679089408	
4657	40719.434	3430.221	4;easyend;1428679119410;	4	easyend	1428679119410	
4965	40745.518	3456.372	22;hardstart;1428679145458;	22	hardstart	1428679145458	
5318	40775.472	3486.305	22;hardend;1428679175461;	22	hardend	1428679175461	
5626	40801.620	3512.414	7;easystart;1428679201509;	7	easystart	1428679201509	
5980	40831.672	3542.429	7;easyend;1428679231512;	7	easyend	1428679231512	
6391	40866.476	3577.298	14;hardstart;1428679266485;	14	hardstart	1428679266485	
6745	40896.463	3607.334	14;hardend;1428679296488;	14	hardend	1428679296488	
7052	40922.576	3633.381	23;hardstart;1428679322537;	23	hardstart	1428679322537	
7406	40952.596	3663.376	23;hardend;1428679352540;	23	hardend	1428679352540	
7713	40978.595	3689.444	21;hardstart;1428679378583;	21	hardstart	1428679378583	
8067	41008.618	3719.481	21;hardend;1428679408585;	21	hardend	1428679408585	
8374	41034.753	3745.526	16;hardstart;1428679434630;	16	hardstart	1428679434630	
8728	41064.710	3775.523	16;hardend;1428679464633;	16	hardend	1428679464633	
9035	41090.719	3801.568	19;hardstart;1428679490677;	19	hardstart	1428679490677	
9389	41120.717	3831.605	19;hardend;1428679520680;	19	hardend	1428679520680	
9696	41146.800	3857.610	13;hardstart;1428679546749;	13	hardstart	1428679546749	
10358	41202.895	3913.799	11;easystart;1428679602795;	11	easystart	1428679602795	
10711	41232.850	3943.730	11;easyend;1428679632798;	11	easyend	1428679632798	
11019	41258.919	3969.818	18;hardstart;1428679658848;	18	hardstart	1428679658848	
11373	41288.918	3999.855	18;hardend;1428679688850;	18	hardend	1428679688850	
11750	41320.910	4031.867	5;easystart;1428679720869;	5	easystart	1428679720869	
12104	41350.914	4061.883	5;easyend;1428679750872;	5	easyend	1428679750872	
12412	41377.033	4087.971	12;easystart;1428679776985;	12	easystart	1428679776985	
12765	41407.016	4117.925	12;easyend;1428679806988;	12	easyend	1428679806988	
13072	41433.016	4143.992	17;hardstart;1428679833029;	17	hardstart	1428679833029	
13426	41463.047	4174.029	17;hardend;1428679863031;	17	hardend	1428679863031	
13733	41489.059	4200.033	8;easystart;1428679889093;	8	easystart	1428679889093	
14087	41519.102	4230.070	8;easyend;1428679919095;	8	easyend	1428679919095	
14394	41545.129	4256.116	20;hardstart;1428679945151;	20	hardstart	1428679945151	
14748	41575.142	4286.152	20;hardend;1428679975153;	20	hardend	1428679975153	
15055	41601.209	4312.158	10;easystart;1428680001201;	10	easystart	1428680001201	
15409	41631.230	4342.194	10;easyend;1428680031204;	10	easyend	1428680031204	
15410	41631.230	4342.278	100;experimentfinished;1428680031209;	100	experimentfinished	1428680031209	
15770	41691.806	4402.837	h;14.7;85.3	h	14.7	85.3	
15775	41692.261	4403.277	h;14.3;85.7	h	14.3	85.7	
15782	41692.843	4403.844	h;14.3;85.7	h	14.3	85.7	
15787	41693.276	4404.307	h;14.2;85.8	h	14.2	85.8	
15794	41693.835	4404.873	h;14.1;85.9	h	14.1	85.9	
15799	41694.291	4405.294	h;14.1;85.9	h	14.1	85.9	
15806	41694.868	4405.904	h;2.3;97.7	h	2.3	97.7	
15812	41695.413	4406.386	h;2.2;97.8	h	2.2	97.8	
15818	41695.901	4406.931	e;84.2;15.8	e	84.2	15.8	
15823	41696.230	4407.352	e;84.7;15.3	e	84.7	15.3	
15830	41696.881	4407.960	e;89.2;10.8	e	89.2	10.8	
15835	41697.321	4408.360	e;92.9;7.1	e	92.9	7.1	
15842	41697.914	4408.927	h;13.7;86.3	h	13.7	86.3	
15853	41698.902	4409.893	h;13.7;86.3	h	13.7	86.3	
15860	41699.438	4410.503	e;50.0;50.0	e	50.0	50.0	
15866	41699.931	4410.985	e;84.6;15.4	e	84.6	15.4	
15871	41700.342	4411.427	e;90.8;9.2	e	90.8	9.2	
15878	41700.945	4412.015	e;88.9;11.1	e	88.9	11.1	
15883	41701.446	4412.414	h;19.6;80.4	h	19.6	80.4	
15889	41701.885	4412.960	h;13.8;86.2	h	13.8	86.2	
15895	41702.364	4413.444	h;9.0;91.0	h	9.0	91.0	
15901	41702.856	4413.968	h;8.9;91.1	h	8.9	91.1	
15907	41703.450	4414.473	h;14.7;85.3	h	14.7	85.3	
15913	41703.912	4414.956	h;5.6;94.4	h	5.6	94.4	
15919	41704.479	4415.502	h;5.6;94.4	h	5.6	94.4	
15925	41704.963	4415.985	h;5.6;94.4	h	5.6	94.4	
15932	41705.524	4416.594	h;6.1;93.9	h	6.1	93.9	
15937	41705.951	4417.014	h;15.5;84.5	h	15.5	84.5	
15943	41706.506	4417.540	h;10.9;89.1	h	10.9	89.1	
