Subject:	S911
Project:	BesteRTMusic
Time:	2015-03-09_13-16-24

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
507	47827.989	16491.780	1;baselinestart;1425921427967;	1	baselinestart	1425921427967	
1203	47886.999	16550.820	1;baselineend;1425921486994;	1	baselineend	1425921486994	
1277	47893.301	16557.080	19;hardstart;1425921493222;	19	hardstart	1425921493222	
1630	47923.222	16587.030	19;hardend;1425921523225;	19	hardend	1425921523225	
1939	47949.458	16613.210	17;hardstart;1425921549367;	17	hardstart	1425921549367	
2292	47979.346	16643.160	17;hardend;1425921579370;	17	hardend	1425921579370	
2599	48005.415	16669.230	5;easystart;1425921605426;	5	easystart	1425921605426	
2953	48035.412	16699.240	5;easyend;1425921635429;	5	easyend	1425921635429	
3262	48061.616	16725.440	3;easystart;1425921661537;	3	easystart	1425921661537	
3615	48091.520	16755.370	3;easyend;1425921691540;	3	easyend	1425921691540	
3922	48117.555	16781.440	9;easystart;1425921717597;	9	easystart	1425921717597	
4276	48147.585	16811.450	9;easyend;1425921747600;	9	easyend	1425921747600	
4584	48173.728	16837.560	23;hardstart;1425921773659;	23	hardstart	1425921773659	
4937	48203.616	16867.510	23;hardend;1425921803661;	23	hardend	1425921803661	
5245	48229.729	16893.640	22;hardstart;1425921829713;	22	hardstart	1425921829713	
5598	48259.680	16923.600	22;hardend;1425921859716;	22	hardend	1425921859716	
5905	48285.715	16949.620	2;easystart;1425921885771;	2	easystart	1425921885771	
6259	48315.730	16979.640	2;easyend;1425921915774;	2	easyend	1425921915774	
6879	48368.314	17032.260	13;hardstart;1425921968355;	13	hardstart	1425921968355	
7233	48398.312	17062.270	13;hardend;1425921998358;	13	hardend	1425921998358	
7541	48424.438	17088.380	8;easystart;1425922024440;	8	easystart	1425922024440	
7895	48454.452	17118.400	8;easyend;1425922054443;	8	easyend	1425922054443	
8201	48480.457	17144.380	12;easystart;1425922080500;	12	easystart	1425922080500	
8556	48510.546	17174.480	12;easyend;1425922110503;	12	easyend	1425922110503	
8863	48536.520	17200.510	20;hardstart;1425922136566;	20	hardstart	1425922136566	
9216	48566.501	17230.460	20;hardend;1425922166568;	20	hardend	1425922166568	
9524	48592.598	17256.590	21;hardstart;1425922192626;	21	hardstart	1425922192626	
9877	48622.581	17286.540	21;hardend;1425922222629;	21	hardend	1425922222629	
10185	48648.646	17312.630	6;easystart;1425922248679;	6	easystart	1425922248679	
10539	48678.661	17342.670	6;easyend;1425922278682;	6	easyend	1425922278682	
10846	48704.711	17368.740	15;hardstart;1425922304742;	15	hardstart	1425922304742	
