Subject:	S1114
Project:	BesteRTMusic
Time:	2015-04-06_13-15-22

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
140	47735.000	3084.942	1;baselinestart;1428340535294;	1	baselinestart	1428340535294	
836	47793.967	3143.965	1;baselineend;1428340594295;	1	baselineend	1428340594295	
909	47800.238	3150.161	4;easystart;1428340600509;	4	easystart	1428340600509	
1264	47830.267	3180.263	4;easyend;1428340630511;	4	easyend	1428340630511	
1571	47856.338	3206.329	9;easystart;1428340656653;	9	easystart	1428340656653	
1925	47886.358	3236.324	9;easyend;1428340686653;	9	easyend	1428340686653	
2233	47912.451	3262.455	21;hardstart;1428340712709;	21	hardstart	1428340712709	
2586	47942.413	3292.408	21;hardend;1428340742710;	21	hardend	1428340742710	
2894	47968.552	3318.539	19;hardstart;1428340768778;	19	hardstart	1428340768778	
3247	47998.442	3348.449	19;hardend;1428340798779;	19	hardend	1428340798779	
3555	48024.573	3374.579	13;hardstart;1428340824833;	13	hardstart	1428340824833	
3909	48054.595	3404.617	13;hardend;1428340854835;	13	hardend	1428340854835	
4216	48080.747	3430.683	22;hardstart;1428340880891;	22	hardstart	1428340880891	
4570	48110.607	3460.658	22;hardend;1428340910893;	22	hardend	1428340910893	
4877	48136.682	3486.725	20;hardstart;1428340936954;	20	hardstart	1428340936954	
5231	48166.692	3516.741	20;hardend;1428340966955;	20	hardend	1428340966955	
5538	48192.721	3542.766	2;easystart;1428340993015;	2	easystart	1428340993015	
5892	48222.740	3572.804	2;easyend;1428341023016;	2	easyend	1428341023016	
6336	48260.425	3610.486	18;hardstart;1428341060725;	18	hardstart	1428341060725	
6690	48290.521	3640.482	18;hardend;1428341090725;	18	hardend	1428341090725	
6998	48316.525	3666.612	16;hardstart;1428341116770;	16	hardstart	1428341116770	
7351	48346.471	3696.564	16;hardend;1428341146772;	16	hardend	1428341146772	
7658	48372.483	3722.612	10;easystart;1428341172839;	10	easystart	1428341172839	
8013	48402.591	3752.690	10;easyend;1428341202840;	10	easyend	1428341202840	
8319	48428.589	3778.673	6;easystart;1428341228876;	6	easystart	1428341228876	
8674	48458.649	3808.774	6;easyend;1428341258878;	6	easyend	1428341258878	
8980	48484.603	3834.714	23;hardstart;1428341284911;	23	hardstart	1428341284911	
9333	48514.566	3864.667	23;hardend;1428341314911;	23	hardend	1428341314911	
9642	48540.757	3890.882	12;easystart;1428341341026;	12	easystart	1428341341026	
9995	48570.732	3920.835	12;easyend;1428341371027;	12	easyend	1428341371027	
10303	48596.805	3946.924	15;hardstart;1428341397075;	15	hardstart	1428341397075	
10657	48626.832	3976.961	15;hardend;1428341427077;	15	hardend	1428341427077	
10964	48652.841	4003.007	17;hardstart;1428341453117;	17	hardstart	1428341453117	
11317	48682.817	4032.959	17;hardend;1428341483119;	17	hardend	1428341483119	
11675	48713.123	4063.312	11;easystart;1428341513387;	11	easystart	1428341513387	
12028	48743.126	4093.265	11;easyend;1428341543388;	11	easyend	1428341543388	
12336	48769.196	4119.375	8;easystart;1428341569436;	8	easystart	1428341569436	
12689	48799.064	4149.327	8;easyend;1428341599438;	8	easyend	1428341599438	
12997	48825.218	4175.459	5;easystart;1428341625488;	5	easystart	1428341625488	
13351	48855.238	4205.474	5;easyend;1428341655489;	5	easyend	1428341655489	
13659	48881.353	4231.583	3;easystart;1428341681639;	3	easystart	1428341681639	
14013	48911.415	4261.621	3;easyend;1428341711640;	3	easyend	1428341711640	
14319	48937.374	4287.582	14;hardstart;1428341737693;	14	hardstart	1428341737693	
14673	48967.425	4317.620	14;hardend;1428341767695;	14	hardend	1428341767695	
14981	48993.440	4343.707	7;easystart;1428341793739;	7	easystart	1428341793739	
15335	49023.435	4373.745	7;easyend;1428341823740;	7	easyend	1428341823740	
15336	49023.552	4373.829	100;experimentfinished;1428341823745;	100	experimentfinished	1428341823745	
15697	49075.813	4426.089	h;1.4;98.6	h	1.4	98.6	
15703	49076.304	4426.593	h;1.4;98.6	h	1.4	98.6	
15709	49076.859	4427.139	h;1.4;98.6	h	1.4	98.6	
15715	49077.346	4427.622	h;1.3;98.7	h	1.3	98.7	
15721	49077.798	4428.106	h;1.3;98.7	h	1.3	98.7	
15727	49078.424	4428.630	h;1.3;98.7	h	1.3	98.7	
15734	49078.936	4429.219	e;99.9;0.1	e	99.9	0.1	
15745	49079.895	4430.164	h;1.6;98.4	h	1.6	98.4	
15751	49080.444	4430.647	h;0.0;100.0	h	0.0	100.0	
15757	49080.844	4431.173	h;0.0;100.0	h	0.0	100.0	
15763	49081.429	4431.676	h;3.7;96.3	h	3.7	96.3	
15769	49081.911	4432.202	h;0.4;99.6	h	0.4	99.6	
15775	49082.394	4432.706	h;1.3;98.7	h	1.3	98.7	
15782	49083.041	4433.315	h;1.5;98.5	h	1.5	98.5	
15788	49083.503	4433.798	h;1.5;98.5	h	1.5	98.5	
15793	49083.968	4434.218	e;99.8;0.2	e	99.8	0.2	
15800	49084.536	4434.827	e;99.8;0.2	e	99.8	0.2	
15805	49084.971	4435.248	e;99.8;0.2	e	99.8	0.2	
15817	49085.983	4436.256	e;99.8;0.2	e	99.8	0.2	
15823	49086.513	4436.802	e;100.0;0.0	e	100.0	0.0	
15829	49086.980	4437.285	h;1.9;98.1	h	1.9	98.1	
15835	49087.536	4437.789	h;0.0;100.0	h	0.0	100.0	
15841	49088.059	4438.315	h;0.0;100.0	h	0.0	100.0	
15847	49088.511	4438.797	h;0.9;99.1	h	0.9	99.1	
15853	49089.119	4439.344	e;99.9;0.1	e	99.9	0.1	
15859	49089.603	4439.827	h;30.6;69.4	h	30.6	69.4	
15866	49090.149	4440.436	e;95.8;4.2	e	95.8	4.2	
15871	49090.611	4440.856	h;14.7;85.3	h	14.7	85.3	
15877	49091.023	4441.340	h;1.5;98.5	h	1.5	98.5	
15883	49091.629	4441.863	h;0.8;99.2	h	0.8	99.2	
15889	49092.114	4442.368	h;1.2;98.8	h	1.2	98.8	
15895	49092.596	4442.914	h;1.2;98.8	h	1.2	98.8	
15901	49093.150	4443.397	h;1.4;98.6	h	1.4	98.6	
15907	49093.565	4443.880	e;100.0;0.0	e	100.0	0.0	
15913	49094.133	4444.406	h;1.4;98.6	h	1.4	98.6	
15919	49094.684	4444.909	h;1.1;98.9	h	1.1	98.9	
15925	49095.118	4445.435	h;1.1;98.9	h	1.1	98.9	
15937	49096.169	4446.464	h;3.6;96.4	h	3.6	96.4	
15943	49096.737	4446.947	e;100.0;0.0	e	100.0	0.0	
15949	49097.106	4447.452	e;100.0;0.0	e	100.0	0.0	
15955	49097.682	4447.976	e;100.0;0.0	e	100.0	0.0	
15967	49098.794	4449.005	h;5.0;95.0	h	5.0	95.0	
15973	49099.165	4449.489	e;100.0;0.0	e	100.0	0.0	
15980	49099.823	4450.098	h;25.3;74.7	h	25.3	74.7	
15986	49100.307	4450.602	h;0.5;99.5	h	0.5	99.5	
15991	49100.769	4451.022	h;0.8;99.2	h	0.8	99.2	
15997	49101.215	4451.548	e;98.2;1.8	e	98.2	1.8	
16003	49101.688	4452.030	h;1.2;98.8	h	1.2	98.8	
16009	49102.310	4452.577	h;1.2;98.8	h	1.2	98.8	
16022	49103.361	4453.669	e;100.0;0.0	e	100.0	0.0	
16027	49103.805	4454.089	h;1.2;98.8	h	1.2	98.8	
16033	49104.285	4454.573	h;1.1;98.9	h	1.1	98.9	
16039	49104.814	4455.097	h;0.0;100.0	h	0.0	100.0	
