Subject:	S913
Project:	BesteRTMusic
Time:	2015-03-10_09-17-38

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
659	33514.365	2994.682	1;baselinestart;1425993513919;	1	baselinestart	1425993513919	
1355	33573.344	3053.727	1;baselineend;1425993572943;	1	baselineend	1425993572943	
1429	33579.630	3059.986	3;easystart;1425993579202;	3	easystart	1425993579202	
1782	33609.580	3089.940	3;easyend;1425993609204;	3	easyend	1425993609204	
2090	33635.678	3116.090	2;easystart;1425993635313;	2	easystart	1425993635313	
2444	33665.754	3146.108	2;easyend;1425993665315;	2	easyend	1425993665315	
2751	33691.760	3172.111	21;hardstart;1425993691375;	21	hardstart	1425993691375	
3105	33721.754	3202.148	21;hardend;1425993721376;	21	hardend	1425993721376	
3412	33747.820	3228.195	5;easystart;1425993747427;	5	easystart	1425993747427	
3766	33777.818	3258.252	5;easyend;1425993777429;	5	easyend	1425993777429	
4073	33803.855	3284.257	4;easystart;1425993803475;	4	easystart	1425993803475	
4427	33833.897	3314.272	4;easyend;1425993833477;	4	easyend	1425993833477	
4734	33859.916	3340.340	18;hardstart;1425993859536;	18	hardstart	1425993859536	
5088	33889.947	3370.356	18;hardend;1425993889563;	18	hardend	1425993889563	
5396	33916.042	3396.464	23;hardstart;1425993915633;	23	hardstart	1425993915633	
5749	33945.946	3426.419	23;hardend;1425993945660;	23	hardend	1425993945660	
6056	33972.030	3452.464	20;hardstart;1425993971772;	20	hardstart	1425993971772	
6411	34002.136	3482.586	20;hardend;1425994001799;	20	hardend	1425994001799	
6842	34038.638	3519.134	15;hardstart;1425994038416;	15	hardstart	1425994038416	
7196	34068.634	3549.151	15;hardend;1425994068443;	15	hardend	1425994068443	
7503	34094.686	3575.176	19;hardstart;1425994094513;	19	hardstart	1425994094513	
7857	34124.697	3605.212	19;hardend;1425994124540;	19	hardend	1425994124540	
8164	34150.732	3631.260	10;easystart;1425994150607;	10	easystart	1425994150607	
8518	34180.761	3661.296	10;easyend;1425994180619;	10	easyend	1425994180619	
8825	34206.798	3687.300	7;easystart;1425994206673;	7	easystart	1425994206673	
9179	34236.824	3717.338	7;easyend;1425994236685;	7	easyend	1425994236685	
9486	34262.859	3743.404	14;hardstart;1425994262749;	14	hardstart	1425994262749	
9840	34292.859	3773.421	14;hardend;1425994292761;	14	hardend	1425994292761	
10147	34318.892	3799.446	11;easystart;1425994318816;	11	easystart	1425994318816	
10501	34348.906	3829.463	11;easyend;1425994348828;	11	easyend	1425994348828	
10807	34374.894	3855.445	17;hardstart;1425994374884;	17	hardstart	1425994374884	
11161	34404.908	3885.483	17;hardend;1425994404896;	17	hardend	1425994404896	
11469	34430.957	3911.571	12;easystart;1425994430953;	12	easystart	1425994430953	
11823	34460.985	3941.607	12;easyend;1425994460962;	12	easyend	1425994460962	
12272	34499.127	3979.710	16;hardstart;1425994499156;	16	hardstart	1425994499156	
12627	34529.187	4009.811	16;hardend;1425994529162;	16	hardend	1425994529162	
12934	34555.222	4035.836	22;hardstart;1425994555245;	22	hardstart	1425994555245	
13288	34585.234	4065.853	22;hardend;1425994585250;	22	hardend	1425994585250	
13595	34611.299	4091.920	9;easystart;1425994611303;	9	easystart	1425994611303	
13949	34641.281	4121.957	9;easyend;1425994641309;	9	easyend	1425994641309	
14256	34667.318	4147.961	13;hardstart;1425994667361;	13	hardstart	1425994667361	
14610	34697.328	4177.998	13;hardend;1425994697367;	13	hardend	1425994697367	
14917	34723.364	4204.044	6;easystart;1425994723411;	6	easystart	1425994723411	
15271	34753.377	4234.080	6;easyend;1425994753417;	6	easyend	1425994753417	
15579	34779.474	4260.170	8;easystart;1425994779470;	8	easystart	1425994779470	
15932	34809.409	4290.122	8;easyend;1425994809473;	8	easyend	1425994809473	
15933	34809.535	4290.206	100;experimentfinished;1425994809478;	100	experimentfinished	1425994809478	
16291	34859.467	4340.156	h;100.0;0.0	h	100.0	0.0	
16297	34859.982	4340.682	h;100.0;0.0	h	100.0	0.0	
16303	34860.451	4341.186	h;100.0;0.0	h	100.0	0.0	
16309	34861.027	4341.710	h;100.0;0.0	h	100.0	0.0	
16315	34861.480	4342.194	h;99.9;0.1	h	99.9	0.1	
16321	34862.025	4342.739	h;87.2;12.8	h	87.2	12.8	
16327	34862.510	4343.223	h;100.0;0.0	h	100.0	0.0	
16333	34863.009	4343.728	h;100.0;0.0	h	100.0	0.0	
16339	34863.538	4344.252	h;100.0;0.0	h	100.0	0.0	
16345	34864.068	4344.735	h;100.0;0.0	h	100.0	0.0	
16351	34864.571	4345.282	h;100.0;0.0	h	100.0	0.0	
16357	34865.038	4345.764	h;100.0;0.0	h	100.0	0.0	
16363	34865.568	4346.290	h;100.0;0.0	h	100.0	0.0	
16369	34866.097	4346.795	h;100.0;0.0	h	100.0	0.0	
16375	34866.612	4347.277	h;99.9;0.1	h	99.9	0.1	
16381	34867.143	4347.803	h;99.7;0.3	h	99.7	0.3	
16387	34867.612	4348.307	h;99.9;0.1	h	99.9	0.1	
16393	34868.111	4348.831	h;100.0;0.0	h	100.0	0.0	
16399	34868.608	4349.336	h;100.0;0.0	h	100.0	0.0	
16405	34869.187	4349.820	h;100.0;0.0	h	100.0	0.0	
16411	34869.637	4350.344	h;100.0;0.0	h	100.0	0.0	
16417	34870.122	4350.849	h;99.2;0.8	h	99.2	0.8	
16423	34870.684	4351.373	h;100.0;0.0	h	100.0	0.0	
16430	34871.262	4351.941	e;10.6;89.4	e	10.6	89.4	
16435	34871.698	4352.403	h;91.0;9.0	h	91.0	9.0	
16441	34872.181	4352.885	h;100.0;0.0	h	100.0	0.0	
16447	34872.711	4353.390	h;100.0;0.0	h	100.0	0.0	
16453	34873.180	4353.916	h;100.0;0.0	h	100.0	0.0	
16460	34873.804	4354.482	h;94.3;5.7	h	94.3	5.7	
16465	34874.224	4354.943	e;0.0;100.0	e	0.0	100.0	
16471	34874.725	4355.427	e;0.0;100.0	e	0.0	100.0	
16477	34875.287	4355.973	e;0.0;100.0	e	0.0	100.0	
16483	34875.721	4356.456	h;99.6;0.4	h	99.6	0.4	
16489	34876.267	4356.960	e;0.0;100.0	e	0.0	100.0	
16495	34876.799	4357.485	e;0.0;100.0	e	0.0	100.0	
16501	34877.297	4357.968	h;80.8;19.2	h	80.8	19.2	
16507	34877.811	4358.494	h;100.0;0.0	h	100.0	0.0	
16513	34878.264	4358.997	h;100.0;0.0	h	100.0	0.0	
16519	34878.812	4359.502	h;100.0;0.0	h	100.0	0.0	
16525	34879.295	4360.027	h;100.0;0.0	h	100.0	0.0	
16531	34879.793	4360.510	h;100.0;0.0	h	100.0	0.0	
16537	34880.354	4361.035	h;100.0;0.0	h	100.0	0.0	
16549	34881.352	4362.064	h;91.8;8.2	h	91.8	8.2	
16555	34881.852	4362.569	h;80.9;19.1	h	80.9	19.1	
16561	34882.366	4363.052	e;0.0;100.0	e	0.0	100.0	
16567	34882.867	4363.577	e;0.0;100.0	e	0.0	100.0	
16573	34883.335	4364.081	e;0.0;100.0	e	0.0	100.0	
