Subject:	S1111
Project:	BesteRTMusic
Time:	2015-03-31_11-23-45

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
16057	42416.397	5462.896	e;0.9;99.1	e	0.9	99.1	
16063	42416.927	5463.443	e;0.5;99.5	e	0.5	99.5	
16070	42417.412	5464.010	e;0.9;99.1	e	0.9	99.1	
16075	42417.896	5464.430	e;23.5;76.5	e	23.5	76.5	
16081	42418.354	5464.955	e;22.3;77.7	e	22.3	77.7	
16087	42418.840	5465.439	e;22.9;77.1	e	22.9	77.1	
16093	42419.375	5465.984	e;20.0;80.0	e	20.0	80.0	
16099	42419.857	5466.468	e;35.5;64.5	e	35.5	64.5	
16105	42420.448	5467.014	e;32.8;67.2	e	32.8	67.2	
16111	42421.006	5467.497	h;89.7;10.3	h	89.7	10.3	
16117	42421.454	5467.980	h;63.3;36.7	h	63.3	36.7	
16123	42422.008	5468.527	h;64.7;35.3	h	64.7	35.3	
16135	42423.017	5469.556	h;64.8;35.2	h	64.8	35.2	
16141	42423.434	5470.039	h;64.7;35.3	h	64.7	35.3	
16147	42424.020	5470.564	h;64.6;35.4	h	64.6	35.4	
16154	42424.640	5471.152	h;64.2;35.8	h	64.2	35.8	
16160	42425.104	5471.635	h;64.3;35.7	h	64.3	35.7	
16165	42425.499	5472.097	h;64.5;35.5	h	64.5	35.5	
16171	42426.033	5472.581	h;64.9;35.1	h	64.9	35.1	
16177	42426.541	5473.105	h;65.4;34.6	h	65.4	34.6	
16183	42427.047	5473.609	h;64.2;35.8	h	64.2	35.8	
16189	42427.580	5474.092	h;64.1;35.9	h	64.1	35.9	
16201	42428.532	5475.121	h;63.6;36.4	h	63.6	36.4	
16207	42429.162	5475.647	h;61.1;38.9	h	61.1	38.9	
16213	42429.514	5476.150	e;15.9;84.1	e	15.9	84.1	
16219	42430.120	5476.676	e;0.9;99.1	e	0.9	99.1	
16225	42430.639	5477.180	e;33.6;66.4	e	33.6	66.4	
16232	42431.135	5477.747	h;63.0;37.0	h	63.0	37.0	
16237	42431.550	5478.188	h;63.7;36.3	h	63.7	36.3	
16243	42432.137	5478.672	h;64.0;36.0	h	64.0	36.0	
16249	42432.679	5479.217	h;63.8;36.2	h	63.8	36.2	
16255	42433.146	5479.722	h;99.0;1.0	h	99.0	1.0	
16261	42433.733	5480.247	h;73.3;26.7	h	73.3	26.7	
16267	42434.176	5480.730	h;92.6;7.4	h	92.6	7.4	
16273	42434.673	5481.213	h;89.5;10.5	h	89.5	10.5	
16279	42435.126	5481.760	e;33.3;66.7	e	33.3	66.7	
16291	42436.280	5482.789	h;90.1;9.9	h	90.1	9.9	
16297	42436.738	5483.272	e;6.6;93.4	e	6.6	93.4	
16303	42437.237	5483.755	e;28.9;71.1	e	28.9	71.1	
16309	42437.687	5484.301	h;56.0;44.0	h	56.0	44.0	
16315	42438.182	5484.785	h;56.9;43.1	h	56.9	43.1	
16321	42438.722	5485.330	h;58.7;41.3	h	58.7	41.3	
16327	42439.251	5485.814	e;8.4;91.6	e	8.4	91.6	
16333	42439.750	5486.338	h;96.1;3.9	h	96.1	3.9	
16345	42440.797	5487.326	h;100.0;0.0	h	100.0	0.0	
16351	42441.305	5487.872	1000;level0start;1427816841514;	1000	level0start	1427816841514	
16352	42441.380	5487.935	h;97.5;2.5	h	97.5	2.5	
16357	42441.788	5488.355	h;100.0;0.0	h	100.0	0.0	
16363	42442.360	5488.881	h;93.9;6.1	h	93.9	6.1	
16375	42443.348	5489.910	h;99.7;0.3	h	99.7	0.3	
16387	42444.268	5490.897	h;100.0;0.0	h	100.0	0.0	
16393	42444.860	5491.421	h;100.0;0.0	h	100.0	0.0	
16399	42445.388	5491.926	h;96.2;3.8	h	96.2	3.8	
16405	42445.921	5492.450	h;100.0;0.0	h	100.0	0.0	
16418	42446.961	5493.564	h;100.0;0.0	h	100.0	0.0	
16423	42447.426	5493.962	h;98.7;1.3	h	98.7	1.3	
16429	42447.828	5494.446	h;87.6;12.4	h	87.6	12.4	
16436	42448.439	5495.077	e;30.9;69.1	e	30.9	69.1	
16441	42448.869	5495.496	e;24.7;75.3	e	24.7	75.3	
16447	42449.536	5496.022	h;55.0;45.0	h	55.0	45.0	
16453	42449.906	5496.505	e;0.0;100.0	e	0.0	100.0	
16459	42450.415	5496.987	e;2.4;97.6	e	2.4	97.6	
16465	42450.955	5497.534	e;42.1;57.9	e	42.1	57.9	
16471	42451.461	5498.018	h;98.4;1.6	h	98.4	1.6	
16477	42452.049	5498.563	h;98.5;1.5	h	98.5	1.5	
16483	42452.490	5499.047	h;98.5;1.5	h	98.5	1.5	
16489	42453.007	5499.571	h;99.9;0.1	h	99.9	0.1	
16495	42453.518	5500.075	h;97.7;2.3	h	97.7	2.3	
16501	42454.026	5500.559	e;47.9;52.1	e	47.9	52.1	
16507	42454.487	5501.104	h;96.2;3.8	h	96.2	3.8	
16513	42455.041	5501.588	h;89.3;10.7	h	89.3	10.7	
16519	42455.555	5502.114	h;95.9;4.1	h	95.9	4.1	
16525	42456.062	5502.617	h;83.4;16.6	h	83.4	16.6	
16531	42456.643	5503.143	h;95.9;4.1	h	95.9	4.1	
16538	42457.141	5503.710	e;3.9;96.1	e	3.9	96.1	
16549	42458.102	5504.655	e;14.8;85.2	e	14.8	85.2	
16555	42458.588	5505.160	e;15.1;84.9	e	15.1	84.9	
16561	42459.145	5505.684	h;99.9;0.1	h	99.9	0.1	
16573	42460.127	5506.672	e;0.8;99.2	e	0.8	99.2	
16579	42460.672	5507.196	e;0.0;100.0	e	0.0	100.0	
16585	42461.112	5507.680	e;0.8;99.2	e	0.8	99.2	
16591	42461.693	5508.227	h;99.6;0.4	h	99.6	0.4	
16597	42462.181	5508.729	h;100.0;0.0	h	100.0	0.0	
16603	42462.738	5509.254	h;99.8;0.2	h	99.8	0.2	
16609	42463.153	5509.738	h;94.5;5.5	h	94.5	5.5	
16615	42463.635	5510.220	h;96.1;3.9	h	96.1	3.9	
