Subject:	S1114
Project:	BesteRTMusic
Time:	2015-04-06_15-25-21

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
492	55563.467	10915.250	1;baselinestart;1428348363467;	1	baselinestart	1428348363467	
1187	55622.483	10974.210	1;baselineend;1428348422489;	1	baselineend	1428348422489	
1263	55628.881	10980.640	15;hardstart;1428348428813;	15	hardstart	1428348428813	
1616	55658.900	11010.590	15;hardend;1428348458816;	15	hardend	1428348458816	
1924	55685.015	11036.740	5;easystart;1428348484995;	5	easystart	1428348484995	
2278	55715.034	11066.760	5;easyend;1428348514998;	5	easyend	1428348514998	
2586	55741.087	11092.870	14;hardstart;1428348541090;	14	hardstart	1428348541090	
2940	55771.105	11122.880	14;hardend;1428348571092;	14	hardend	1428348571092	
3248	55797.242	11149.030	6;easystart;1428348597189;	6	easystart	1428348597189	
3602	55827.281	11179.050	6;easyend;1428348627191;	6	easyend	1428348627191	
3909	55853.263	11205.080	9;easystart;1428348653242;	9	easystart	1428348653242	
4262	55883.267	11235.030	9;easyend;1428348683245;	9	easyend	1428348683245	
4569	55909.282	11261.070	11;easystart;1428348709292;	11	easystart	1428348709292	
4923	55939.294	11291.110	11;easyend;1428348739295;	11	easyend	1428348739295	
5231	55965.408	11317.200	10;easystart;1428348765349;	10	easystart	1428348765349	
5584	55995.355	11347.150	10;easyend;1428348795352;	10	easyend	1428348795352	
5891	56021.399	11373.220	19;hardstart;1428348821407;	19	hardstart	1428348821407	
6245	56051.391	11403.240	19;hardend;1428348851409;	19	hardend	1428348851409	
6718	56091.486	11443.350	3;easystart;1428348891473;	3	easystart	1428348891473	
7072	56121.509	11473.370	3;easyend;1428348921476;	3	easyend	1428348921476	
7378	56147.489	11499.310	8;easystart;1428348947523;	8	easystart	1428348947523	
7732	56177.521	11529.350	8;easyend;1428348977525;	8	easyend	1428348977525	
8039	56203.559	11555.400	18;hardstart;1428349003577;	18	hardstart	1428349003577	
8393	56233.559	11585.430	18;hardend;1428349033579;	18	hardend	1428349033579	
8702	56259.725	11611.610	7;easystart;1428349059634;	7	easystart	1428349059634	
9054	56289.589	11641.480	7;easyend;1428349089636;	7	easyend	1428349089636	
