Subject:	S1101
Project:	BesteRTMusic
Time:	2015-03-10_11-18-19

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
359	40730.729	10212.710	1;baselinestart;1426000730743;	1	baselinestart	1426000730743	
1055	40789.788	10271.760	1;baselineend;1426000789748;	1	baselineend	1426000789748	
1127	40795.872	10277.850	17;hardstart;1426000795841;	17	hardstart	1426000795841	
1481	40825.884	10307.880	17;hardend;1426000825845;	17	hardend	1426000825845	
1788	40851.890	10333.910	8;easystart;1426000851915;	8	easystart	1426000851915	
2142	40881.885	10363.930	8;easyend;1426000881918;	8	easyend	1426000881918	
2449	40908.000	10389.990	5;easystart;1426000907991;	5	easystart	1426000907991	
2803	40937.951	10419.990	5;easyend;1426000937994;	5	easyend	1426000937994	
3111	40964.062	10446.120	20;hardstart;1426000964055;	20	hardstart	1426000964055	
3464	40994.030	10476.070	20;hardend;1426000994058;	20	hardend	1426000994058	
3771	41020.080	10502.120	9;easystart;1426001020099;	9	easystart	1426001020099	
4125	41050.047	10532.110	9;easyend;1426001050097;	9	easyend	1426001050097	
4433	41076.160	10558.240	12;easystart;1426001076133;	12	easystart	1426001076133	
4786	41106.094	10588.200	12;easyend;1426001106136;	12	easyend	1426001106136	
5093	41132.130	10614.220	6;easystart;1426001132171;	6	easystart	1426001132171	
5447	41162.140	10644.240	6;easyend;1426001162174;	6	easyend	1426001162174	
5753	41188.144	10670.220	7;easystart;1426001188210;	7	easystart	1426001188210	
6107	41218.157	10700.260	7;easyend;1426001218213;	7	easyend	1426001218213	
6515	41252.726	10734.830	13;hardstart;1426001252763;	13	hardstart	1426001252763	
6869	41282.738	10764.870	13;hardend;1426001282766;	13	hardend	1426001282766	
7176	41308.757	10790.920	4;easystart;1426001308802;	4	easystart	1426001308802	
7530	41338.771	10820.950	4;easyend;1426001338805;	4	easyend	1426001338805	
7837	41364.790	10846.960	16;hardstart;1426001364841;	16	hardstart	1426001364841	
8191	41394.849	10877.000	16;hardend;1426001394843;	16	hardend	1426001394843	
8497	41420.791	10902.960	19;hardstart;1426001420881;	19	hardstart	1426001420881	
8851	41450.804	10932.990	19;hardend;1426001450884;	19	hardend	1426001450884	
9158	41476.839	10959.020	21;hardstart;1426001476918;	21	hardstart	1426001476918	
9512	41506.852	10989.030	21;hardend;1426001506921;	21	hardend	1426001506921	
9819	41532.919	11015.100	18;hardstart;1426001532978;	18	hardstart	1426001532978	
10173	41562.931	11045.120	18;hardend;1426001562981;	18	hardend	1426001562981	
10480	41588.904	11071.140	10;easystart;1426001589016;	10	easystart	1426001589016	
10834	41618.980	11101.180	10;easyend;1426001619019;	10	easyend	1426001619019	
11141	41644.998	11127.230	22;hardstart;1426001645049;	22	hardstart	1426001645049	
11495	41675.013	11157.260	22;hardend;1426001675052;	22	hardend	1426001675052	
11888	41708.317	11190.560	14;hardstart;1426001708361;	14	hardstart	1426001708361	
12241	41738.250	11220.510	14;hardend;1426001738364;	14	hardend	1426001738364	
12548	41764.288	11246.580	11;easystart;1426001764403;	11	easystart	1426001764403	
12902	41794.285	11276.590	11;easyend;1426001794399;	11	easyend	1426001794399	
13209	41820.351	11302.620	15;hardstart;1426001820436;	15	hardstart	1426001820436	
13562	41850.317	11332.570	15;hardend;1426001850439;	15	hardend	1426001850439	
13870	41876.428	11358.700	23;hardstart;1426001876478;	23	hardstart	1426001876478	
14223	41906.365	11388.610	23;hardend;1426001906481;	23	hardend	1426001906481	
14531	41932.430	11414.740	2;easystart;1426001932514;	2	easystart	1426001932514	
14884	41962.397	11444.700	2;easyend;1426001962517;	2	easyend	1426001962517	
15191	41988.416	11470.720	3;easystart;1426001988550;	3	easystart	1426001988550	
15546	42018.539	11500.820	3;easyend;1426002018553;	3	easyend	1426002018553	
15547	42018.599	11500.950	100;experimentfinished;1426002018558;	100	experimentfinished	1426002018558	
15901	42079.078	11561.420	h;37.7;62.3	h	37.7	62.3	
15907	42079.547	11561.920	h;37.4;62.6	h	37.4	62.6	
15913	42080.107	11562.450	h;37.6;62.4	h	37.6	62.4	
15919	42080.593	11562.930	h;37.4;62.6	h	37.4	62.6	
15925	42081.091	11563.440	h;37.3;62.7	h	37.3	62.7	
15931	42081.620	11563.960	h;37.3;62.7	h	37.3	62.7	
15937	42082.119	11564.470	h;37.2;62.8	h	37.2	62.8	
15943	42082.681	11564.990	h;1.0;99.0	h	1.0	99.0	
15949	42083.135	11565.470	h;37.3;62.7	h	37.3	62.7	
15955	42083.648	11565.960	h;37.2;62.8	h	37.2	62.8	
15961	42084.116	11566.500	h;37.5;62.5	h	37.5	62.5	
15967	42084.648	11567.010	h;37.7;62.3	h	37.7	62.3	
15973	42085.149	11567.530	h;37.4;62.6	h	37.4	62.6	
15979	42085.660	11568.020	h;37.7;62.3	h	37.7	62.3	
15985	42086.222	11568.540	h;37.9;62.1	h	37.9	62.1	
15991	42086.672	11569.050	h;1.1;98.9	h	1.1	98.9	
15997	42087.175	11569.530	h;0.0;100.0	h	0.0	100.0	
16003	42087.720	11570.080	h;0.0;100.0	h	0.0	100.0	
16009	42088.221	11570.560	h;0.0;100.0	h	0.0	100.0	
16015	42088.734	11571.080	h;48.6;51.4	h	48.6	51.4	
16021	42089.233	11571.590	h;0.3;99.7	h	0.3	99.7	
16027	42089.748	11572.110	h;35.5;64.5	h	35.5	64.5	
16033	42090.249	11572.620	h;33.1;66.9	h	33.1	66.9	
16039	42090.731	11573.100	h;36.2;63.8	h	36.2	63.8	
