Subject:	S904
Project:	BesteRTMusic
Time:	2015-02-27_15-30-27

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
219	55846.513	12365.150	1;baselinestart;1425069046394;	1	baselinestart	1425069046394	
914	55905.448	12424.090	1;baselineend;1425069105399;	1	baselineend	1425069105399	
986	55911.560	12430.200	17;hardstart;1425069111535;	17	hardstart	1425069111535	
1341	55941.619	12460.320	17;hardend;1425069141539;	17	hardend	1425069141539	
1648	55967.656	12486.370	3;easystart;1425069167607;	3	easystart	1425069167607	
2002	55997.685	12516.410	3;easyend;1425069197610;	3	easyend	1425069197610	
2309	56023.718	12542.430	7;easystart;1425069223649;	7	easystart	1425069223649	
2663	56053.748	12572.450	7;easyend;1425069253652;	7	easyend	1425069253652	
2970	56079.784	12598.490	15;hardstart;1425069279715;	15	hardstart	1425069279715	
3324	56109.781	12628.490	15;hardend;1425069309718;	15	hardend	1425069309718	
3631	56135.783	12654.560	21;hardstart;1425069335754;	21	hardstart	1425069335754	
3985	56165.829	12684.590	21;hardend;1425069365757;	21	hardend	1425069365757	
4292	56191.864	12710.640	2;easystart;1425069391848;	2	easystart	1425069391848	
4646	56221.875	12740.610	2;easyend;1425069421851;	2	easyend	1425069421851	
4954	56248.019	12766.760	6;easystart;1425069447908;	6	easystart	1425069447908	
5307	56277.938	12796.720	6;easyend;1425069477911;	6	easyend	1425069477911	
5614	56303.960	12822.720	11;easystart;1425069503945;	11	easystart	1425069503945	
5968	56333.973	12852.760	11;easyend;1425069533948;	11	easyend	1425069533948	
6690	56395.229	12914.010	13;hardstart;1425069595175;	13	hardstart	1425069595175	
7043	56425.181	12943.960	13;hardend;1425069625178;	13	hardend	1425069625178	
7350	56451.214	12970.010	8;easystart;1425069651226;	8	easystart	1425069651226	
7705	56481.276	13000.090	8;easyend;1425069681229;	8	easyend	1425069681229	
8012	56507.311	13026.130	20;hardstart;1425069707286;	20	hardstart	1425069707286	
8365	56537.275	13056.090	20;hardend;1425069737289;	20	hardend	1425069737289	
8672	56563.328	13082.090	22;hardstart;1425069763331;	22	hardstart	1425069763331	
9027	56593.401	13112.210	22;hardend;1425069793334;	22	hardend	1425069793334	
9334	56619.423	13138.260	5;easystart;1425069819370;	5	easystart	1425069819370	
9687	56649.357	13168.210	5;easyend;1425069849374;	5	easyend	1425069849374	
9994	56675.359	13194.240	16;hardstart;1425069875410;	16	hardstart	1425069875410	
10348	56705.389	13224.250	16;hardend;1425069905413;	16	hardend	1425069905413	
10655	56731.423	13250.320	10;easystart;1425069931447;	10	easystart	1425069931447	
11009	56761.436	13280.360	10;easyend;1425069961451;	10	easyend	1425069961451	
11317	56787.582	13306.440	12;easystart;1425069987507;	12	easystart	1425069987507	
11670	56817.454	13336.400	12;easyend;1425070017510;	12	easyend	1425070017510	
12093	56853.393	13372.300	9;easystart;1425070053399;	9	easystart	1425070053399	
12447	56883.407	13402.330	9;easyend;1425070083402;	9	easyend	1425070083402	
12755	56909.536	13428.440	18;hardstart;1425070109477;	18	hardstart	1425070109477	
13109	56939.533	13458.460	18;hardend;1425070139480;	18	hardend	1425070139480	
13415	56965.458	13484.420	4;easystart;1425070165515;	4	easystart	1425070165515	
13769	56995.486	13514.460	4;easyend;1425070195518;	4	easyend	1425070195518	
14076	57021.506	13540.460	23;hardstart;1425070221551;	23	hardstart	1425070221551	
14430	57051.521	13570.500	23;hardend;1425070251551;	23	hardend	1425070251551	
14737	57077.554	13596.550	14;hardstart;1425070277582;	14	hardstart	1425070277582	
15091	57107.569	13626.580	14;hardend;1425070307582;	14	hardend	1425070307582	
