Subject:	S703
Project:	BesteRTMusic
Time:	2015-02-24_13-12-16

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
273	47560.343	3748.803	1;baselinestart;1424801560178;	1	baselinestart	1424801560178	
969	47619.346	3807.828	1;baselineend;1424801619198;	1	baselineend	1424801619198	
1042	47625.572	3814.024	9;easystart;1424801625419;	9	easystart	1424801625419	
1395	47655.522	3843.977	9;easyend;1424801655423;	9	easyend	1424801655423	
1703	47681.638	3870.107	15;hardstart;1424801681509;	15	hardstart	1424801681509	
2057	47711.639	3900.144	15;hardend;1424801711509;	15	hardend	1424801711509	
2365	47737.725	3926.232	7;easystart;1424801737598;	7	easystart	1424801737598	
2718	47767.708	3956.185	7;easyend;1424801767598;	7	easyend	1424801767598	
3026	47793.810	3982.337	10;easystart;1424801793642;	10	easystart	1424801793642	
3380	47823.824	4012.353	10;easyend;1424801823642;	10	easyend	1424801823642	
3689	47850.097	4038.526	20;hardstart;1424801849879;	20	hardstart	1424801849879	
4043	47880.034	4068.562	20;hardend;1424801879879;	20	hardend	1424801879879	
4350	47906.102	4094.629	2;easystart;1424801905941;	2	easystart	1424801905941	
4704	47936.104	4124.646	2;easyend;1424801935942;	2	easyend	1424801935942	
5011	47962.127	4150.671	23;hardstart;1424801961987;	23	hardstart	1424801961987	
5365	47992.174	4180.707	23;hardend;1424801991987;	23	hardend	1424801991987	
5672	48018.225	4206.754	17;hardstart;1424802018036;	17	hardstart	1424802018036	
6026	48048.227	4236.791	17;hardend;1424802048036;	17	hardend	1424802048036	
7275	48154.172	4342.740	22;hardstart;1424802153958;	22	hardstart	1424802153958	
7629	48184.186	4372.715	22;hardend;1424802183958;	22	hardend	1424802183958	
7936	48210.177	4398.782	4;easystart;1424802209996;	4	easystart	1424802209996	
8289	48240.178	4428.734	4;easyend;1424802239996;	4	easyend	1424802239996	
8597	48266.310	4454.866	16;hardstart;1424802266045;	16	hardstart	1424802266045	
8951	48296.279	4484.860	16;hardend;1424802296045;	16	hardend	1424802296045	
9258	48322.332	4510.906	19;hardstart;1424802322095;	19	hardstart	1424802322095	
9612	48352.331	4540.944	19;hardend;1424802352095;	19	hardend	1424802352095	
9919	48378.368	4566.947	3;easystart;1424802378167;	3	easystart	1424802378167	
10273	48408.355	4596.985	3;easyend;1424802408167;	3	easyend	1424802408167	
10580	48434.453	4623.052	18;hardstart;1424802434216;	18	hardstart	1424802434216	
10934	48464.439	4653.068	18;hardend;1424802464216;	18	hardend	1424802464216	
11241	48490.478	4679.093	5;easystart;1424802490266;	5	easystart	1424802490266	
11595	48520.476	4709.131	5;easyend;1424802520266;	5	easyend	1424802520266	
11902	48546.563	4735.177	8;easystart;1424802546311;	8	easystart	1424802546311	
12256	48576.547	4765.213	8;easyend;1424802576311;	8	easyend	1424802576311	
12651	48610.071	4798.717	14;hardstart;1424802609851;	14	hardstart	1424802609851	
13005	48640.075	4828.711	14;hardend;1424802639851;	14	hardend	1424802639851	
13312	48666.124	4854.758	11;easystart;1424802665894;	11	easystart	1424802665894	
13666	48696.111	4884.795	11;easyend;1424802695894;	11	easyend	1424802695894	
13973	48722.179	4910.862	21;hardstart;1424802721955;	21	hardstart	1424802721955	
14327	48752.181	4940.837	21;hardend;1424802751955;	21	hardend	1424802751955	
14634	48778.232	4966.903	6;easystart;1424802778002;	6	easystart	1424802778002	
14988	48808.234	4996.921	6;easyend;1424802808002;	6	easyend	1424802808002	
15295	48834.287	5022.945	13;hardstart;1424802834054;	13	hardstart	1424802834054	
15649	48864.303	5052.983	13;hardend;1424802864054;	13	hardend	1424802864054	
15957	48890.402	5079.113	12;easystart;1424802890098;	12	easystart	1424802890098	
16310	48920.340	5109.066	12;easyend;1424802920098;	12	easyend	1424802920098	
16311	48920.402	5109.149	100;experimentfinished;1424802920104;	100	experimentfinished	1424802920104	
16669	48973.211	5161.914	h;0.4;99.6	h	0.4	99.6	
16675	48973.710	5162.397	h;0.0;100.0	h	0.0	100.0	
16681	48974.240	5162.901	h;0.0;100.0	h	0.0	100.0	
16687	48974.726	5163.426	h;0.0;100.0	h	0.0	100.0	
16693	48975.207	5163.909	h;0.0;100.0	h	0.0	100.0	
16699	48975.739	5164.456	h;0.0;100.0	h	0.0	100.0	
16705	48976.221	5164.938	e;100.0;0.0	e	100.0	0.0	
16711	48976.784	5165.485	e;99.9;0.1	e	99.9	0.1	
16717	48977.235	5165.968	e;99.9;0.1	e	99.9	0.1	
16723	48977.797	5166.451	h;3.7;96.3	h	3.7	96.3	
16729	48978.249	5166.997	e;100.0;0.0	e	100.0	0.0	
16735	48978.779	5167.481	h;1.9;98.1	h	1.9	98.1	
16741	48979.310	5168.026	h;2.8;97.2	h	2.8	97.2	
16747	48979.777	5168.510	h;0.3;99.7	h	0.3	99.7	
16753	48980.326	5169.035	h;0.5;99.5	h	0.5	99.5	
