Subject:	S1105
Project:	BesteRTMusic
Time:	2015-03-12_11-06-46

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
348	40036.471	8655.361	1;baselinestart;1426172836314;	1	baselinestart	1426172836314	
1044	40095.474	8714.383	1;baselineend;1426172895316;	1	baselineend	1426172895316	
1117	40101.620	8720.580	22;hardstart;1426172901465;	22	hardstart	1426172901465	
1470	40131.574	8750.534	22;hardend;1426172931466;	22	hardend	1426172931466	
1778	40157.690	8776.622	12;easystart;1426172957552;	12	easystart	1426172957552	
2132	40187.691	8806.659	12;easyend;1426172987552;	12	easyend	1426172987552	
2439	40213.774	8832.705	4;easystart;1426173013588;	4	easystart	1426173013588	
2793	40243.792	8862.742	4;easyend;1426173043588;	4	easyend	1426173043588	
3100	40269.830	8888.746	7;easystart;1426173069623;	7	easystart	1426173069623	
3454	40299.815	8918.782	7;easyend;1426173099623;	7	easyend	1426173099623	
3761	40325.867	8944.851	15;hardstart;1426173125697;	15	hardstart	1426173125697	
4115	40355.881	8974.824	15;hardend;1426173155697;	15	hardend	1426173155697	
4422	40381.938	9000.892	18;hardstart;1426173181731;	18	hardstart	1426173181731	
4776	40411.952	9030.929	18;hardend;1426173211731;	18	hardend	1426173211731	
5082	40437.926	9056.849	10;easystart;1426173237765;	10	easystart	1426173237765	
5437	40468.052	9086.971	10;easyend;1426173267765;	10	easyend	1426173267765	
5744	40494.011	9113.016	8;easystart;1426173293799;	8	easystart	1426173293799	
6098	40524.027	9143.055	8;easyend;1426173323799;	8	easyend	1426173323799	
6657	40571.424	9190.462	21;hardstart;1426173371215;	21	hardstart	1426173371215	
7010	40601.409	9220.394	21;hardend;1426173401215;	21	hardend	1426173401215	
7317	40627.447	9246.461	9;easystart;1426173427262;	9	easystart	1426173427262	
7671	40657.428	9276.499	9;easyend;1426173457262;	9	easyend	1426173457262	
7978	40683.499	9302.503	3;easystart;1426173483303;	3	easystart	1426173483303	
8332	40713.500	9332.540	3;easyend;1426173513303;	3	easyend	1426173513303	
8639	40739.521	9358.586	11;easystart;1426173539334;	11	easystart	1426173539334	
8993	40769.600	9388.582	11;easyend;1426173569334;	11	easyend	1426173569334	
9300	40795.560	9414.648	17;hardstart;1426173595363;	17	hardstart	1426173595363	
9653	40825.558	9444.581	17;hardend;1426173625363;	17	hardend	1426173625363	
9961	40851.658	9470.732	14;hardstart;1426173651406;	14	hardstart	1426173651406	
10315	40881.661	9500.705	14;hardend;1426173681406;	14	hardend	1426173681406	
10622	40907.713	9526.774	2;easystart;1426173707439;	2	easystart	1426173707439	
10975	40937.636	9556.726	2;easyend;1426173737439;	2	easyend	1426173737439	
11283	40963.781	9582.814	20;hardstart;1426173763492;	20	hardstart	1426173763492	
11637	40993.768	9612.852	20;hardend;1426173793493;	20	hardend	1426173793493	
12065	41030.100	9649.148	6;easystart;1426173829793;	6	easystart	1426173829793	
12418	41060.040	9679.080	6;easyend;1426173859793;	6	easyend	1426173859793	
12725	41086.075	9705.148	19;hardstart;1426173885822;	19	hardstart	1426173885822	
13079	41116.063	9735.185	19;hardend;1426173915822;	19	hardend	1426173915822	
13387	41142.145	9761.272	23;hardstart;1426173941869;	23	hardstart	1426173941869	
13740	41172.145	9791.227	23;hardend;1426173971869;	23	hardend	1426173971869	
14047	41198.184	9817.293	5;easystart;1426173997898;	5	easystart	1426173997898	
14401	41228.215	9847.309	5;easyend;1426174027898;	5	easyend	1426174027898	
14708	41254.236	9873.335	13;hardstart;1426174053944;	13	hardstart	1426174053944	
15062	41284.221	9903.371	13;hardend;1426174083944;	13	hardend	1426174083944	
15369	41310.260	9929.419	16;hardstart;1426174109998;	16	hardstart	1426174109998	
15722	41340.262	9959.371	16;hardend;1426174140006;	16	hardend	1426174140006	
15723	41340.321	9959.455	100;experimentfinished;1426174140011;	100	experimentfinished	1426174140011	
16081	41389.370	10008.520	e;0.0;100.0	e	0.0	100.0	
16087	41389.932	10009.070	h;100.0;0.0	h	100.0	0.0	
16093	41390.402	10009.550	h;94.0;6.0	h	94.0	6.0	
16099	41390.899	10010.080	e;14.2;85.8	e	14.2	85.8	
16105	41391.463	10010.580	e;5.0;95.0	e	5.0	95.0	
16111	41391.946	10011.060	e;4.4;95.6	e	4.4	95.6	
16117	41392.444	10011.590	e;4.7;95.3	e	4.7	95.3	
16123	41392.958	10012.090	e;4.2;95.8	e	4.2	95.8	
16129	41393.458	10012.620	h;100.0;0.0	h	100.0	0.0	
16135	41393.972	10013.120	h;100.0;0.0	h	100.0	0.0	
16141	41394.503	10013.650	h;87.9;12.1	h	87.9	12.1	
16147	41395.019	10014.130	h;86.1;13.9	h	86.1	13.9	
16153	41395.550	10014.640	h;60.6;39.4	h	60.6	39.4	
16159	41395.972	10015.160	h;85.7;14.3	h	85.7	14.3	
16165	41396.499	10015.670	h;85.8;14.2	h	85.8	14.2	
16171	41397.046	10016.190	h;85.3;14.7	h	85.3	14.7	
16177	41397.514	10016.670	e;0.4;99.6	e	0.4	99.6	
16183	41398.078	10017.200	e;0.3;99.7	e	0.3	99.7	
16189	41398.530	10017.700	h;84.2;15.8	h	84.2	15.8	
16196	41399.152	10018.270	h;85.9;14.1	h	85.9	14.1	
16201	41399.559	10018.730	e;0.0;100.0	e	0.0	100.0	
16207	41400.106	10019.210	e;0.4;99.6	e	0.4	99.6	
16213	41400.635	10019.760	e;0.0;100.0	e	0.0	100.0	
16226	41401.664	10020.850	e;0.6;99.4	e	0.6	99.4	
16231	41402.133	10021.270	e;0.0;100.0	e	0.0	100.0	
16237	41402.586	10021.750	e;0.0;100.0	e	0.0	100.0	
16243	41403.130	10022.300	e;0.0;100.0	e	0.0	100.0	
16249	41403.614	10022.780	e;0.0;100.0	e	0.0	100.0	
16255	41404.162	10023.310	e;0.0;100.0	e	0.0	100.0	
16261	41404.676	10023.810	e;0.0;100.0	e	0.0	100.0	
16267	41405.176	10024.300	e;0.0;100.0	e	0.0	100.0	
16273	41405.705	10024.820	e;0.0;100.0	e	0.0	100.0	
16279	41406.189	10025.330	e;4.7;95.3	e	4.7	95.3	
16285	41406.719	10025.850	e;2.4;97.6	e	2.4	97.6	
16291	41407.205	10026.360	e;0.0;100.0	e	0.0	100.0	
16297	41407.733	10026.880	e;0.0;100.0	e	0.0	100.0	
16303	41408.203	10027.360	e;0.0;100.0	e	0.0	100.0	
16309	41408.702	10027.870	h;83.0;17.0	h	83.0	17.0	
16315	41409.232	10028.390	e;0.0;100.0	e	0.0	100.0	
16321	41409.760	10028.900	h;85.2;14.8	h	85.2	14.8	
16327	41410.292	10029.420	e;0.0;100.0	e	0.0	100.0	
16333	41410.745	10029.910	h;50.0;50.0	h	50.0	50.0	
16339	41411.305	10030.450	e;0.0;100.0	e	0.0	100.0	
16345	41411.790	10030.930	e;1.1;98.9	e	1.1	98.9	
