Subject:	S907
Project:	BesteRTMusic
Time:	2015-03-05_13-26-22

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
144	48395.286	11321.080	1;baselinestart;1425579995118;	1	baselinestart	1425579995118	
839	48454.242	11380.050	1;baselineend;1425580054123;	1	baselineend	1425580054123	
912	48460.465	11386.240	7;easystart;1425580060344;	7	easystart	1425580060344	
1267	48490.531	11416.340	7;easyend;1425580090358;	7	easyend	1425580090358	
1575	48516.628	11442.490	20;hardstart;1425580116487;	20	hardstart	1425580116487	
1929	48546.676	11472.510	20;hardend;1425580146489;	20	hardend	1425580146489	
2236	48572.682	11498.570	16;hardstart;1425580172534;	16	hardstart	1425580172534	
2590	48602.728	11528.570	16;hardend;1425580202537;	16	hardend	1425580202537	
2897	48628.782	11554.620	6;easystart;1425580228600;	6	easystart	1425580228600	
3251	48658.768	11584.650	6;easyend;1425580258603;	6	easyend	1425580258603	
3558	48684.788	11610.700	12;easystart;1425580284651;	12	easystart	1425580284651	
3911	48714.759	11640.610	12;easyend;1425580314654;	12	easyend	1425580314654	
4221	48741.000	11666.910	5;easystart;1425580340891;	5	easystart	1425580340891	
4575	48771.047	11696.950	5;easyend;1425580370894;	5	easyend	1425580370894	
4882	48797.067	11722.990	11;easystart;1425580396945;	11	easystart	1425580396945	
5236	48827.162	11752.990	11;easyend;1425580426948;	11	easyend	1425580426948	
5543	48853.121	11779.060	3;easystart;1425580452998;	3	easystart	1425580452998	
5897	48883.139	11809.070	3;easyend;1425580483002;	3	easyend	1425580483002	
6774	48957.567	11883.470	21;hardstart;1425580557336;	21	hardstart	1425580557336	
7127	48987.523	11913.380	21;hardend;1425580587339;	21	hardend	1425580587339	
7436	49013.670	11939.600	8;easystart;1425580613457;	8	easystart	1425580613457	
7789	49043.623	11969.550	8;easyend;1425580643460;	8	easyend	1425580643460	
8096	49069.660	11995.620	4;easystart;1425580669528;	4	easystart	1425580669528	
8450	49099.677	12025.590	4;easyend;1425580699531;	4	easyend	1425580699531	
8757	49125.713	12051.660	10;easystart;1425580725578;	10	easystart	1425580725578	
9111	49155.713	12081.690	10;easyend;1425580755581;	10	easyend	1425580755581	
9418	49181.800	12107.740	14;hardstart;1425580781626;	14	hardstart	1425580781626	
9772	49211.785	12137.730	14;hardend;1425580811629;	14	hardend	1425580811629	
10080	49237.914	12163.870	17;hardstart;1425580837682;	17	hardstart	1425580837682	
10433	49267.853	12193.820	17;hardend;1425580867685;	17	hardend	1425580867685	
10740	49293.858	12219.840	18;hardstart;1425580893736;	18	hardstart	1425580893736	
11094	49323.876	12249.860	18;hardend;1425580923738;	18	hardend	1425580923738	
11401	49349.930	12275.930	9;easystart;1425580949788;	9	easystart	1425580949788	
11755	49379.912	12305.940	9;easyend;1425580979791;	9	easyend	1425580979791	
12145	49413.017	12339.010	19;hardstart;1425581012842;	19	hardstart	1425581012842	
12498	49442.971	12368.960	19;hardend;1425581042845;	19	hardend	1425581042845	
