Subject:	S1116
Project:	BesteRTMusic
Time:	2015-04-07_09-16-43

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
1088	33495.689	3529.052	1;baselinestart;1428412696479;	1	baselinestart	1428412696479	
1783	33554.641	3587.991	1;baselineend;1428412755508;	1	baselineend	1428412755508	
1857	33560.973	3594.271	2;easystart;1428412761758;	2	easystart	1428412761758	
2211	33590.869	3624.288	2;easyend;1428412791759;	2	easyend	1428412791759	
2520	33617.102	3650.502	16;hardstart;1428412817877;	16	hardstart	1428412817877	
2873	33647.089	3680.455	16;hardend;1428412847879;	16	hardend	1428412847879	
3181	33673.181	3706.565	18;hardstart;1428412873993;	18	hardstart	1428412873993	
3535	33703.163	3736.580	18;hardend;1428412903994;	18	hardend	1428412903994	
3841	33729.177	3762.563	22;hardstart;1428412930043;	22	hardstart	1428412930043	
4195	33759.181	3792.601	22;hardend;1428412960045;	22	hardend	1428412960045	
4503	33785.247	3818.689	21;hardstart;1428412986094;	21	hardstart	1428412986094	
4857	33815.290	3848.725	21;hardend;1428413016095;	21	hardend	1428413016095	
5164	33841.276	3874.772	8;easystart;1428413042166;	8	easystart	1428413042166	
5517	33871.296	3904.683	8;easyend;1428413072167;	8	easyend	1428413072167	
5825	33897.373	3930.835	10;easystart;1428413098214;	10	easystart	1428413098214	
6179	33927.362	3960.872	10;easyend;1428413128216;	10	easyend	1428413128216	
6486	33953.456	3986.918	3;easystart;1428413154262;	3	easystart	1428413154262	
6839	33983.366	4016.830	3;easyend;1428413184264;	3	easyend	1428413184264	
7234	34016.833	4050.332	5;easystart;1428413217734;	5	easystart	1428413217734	
7589	34046.917	4080.452	5;easyend;1428413247735;	5	easyend	1428413247735	
7898	34073.124	4106.668	4;easystart;1428413273937;	4	easystart	1428413273937	
8251	34103.133	4136.620	4;easyend;1428413303938;	4	easyend	1428413303938	
8559	34129.167	4162.709	6;easystart;1428413329984;	6	easystart	1428413329984	
8912	34159.110	4192.662	6;easyend;1428413359985;	6	easyend	1428413359985	
9219	34185.170	4218.728	9;easystart;1428413386043;	9	easystart	1428413386043	
9573	34215.165	4248.746	9;easyend;1428413416045;	9	easyend	1428413416045	
9880	34241.196	4274.770	20;hardstart;1428413442114;	20	hardstart	1428413442114	
10235	34271.322	4304.870	20;hardend;1428413472115;	20	hardend	1428413472115	
10541	34297.305	4330.854	23;hardstart;1428413498165;	23	hardstart	1428413498165	
10894	34327.238	4360.807	23;hardend;1428413528167;	23	hardend	1428413528167	
11203	34353.393	4386.980	14;hardstart;1428413554212;	14	hardstart	1428413554212	
11556	34383.342	4416.932	14;hardend;1428413584214;	14	hardend	1428413584214	
11864	34409.469	4443.062	11;easystart;1428413610258;	11	easystart	1428413610258	
12217	34439.443	4473.015	11;easyend;1428413640259;	11	easyend	1428413640259	
12594	34471.421	4504.965	17;hardstart;1428413672188;	17	hardstart	1428413672188	
12947	34501.318	4534.917	17;hardend;1428413702189;	17	hardend	1428413702189	
13254	34527.342	4560.921	15;hardstart;1428413728256;	15	hardstart	1428413728256	
13609	34557.436	4591.043	15;hardend;1428413758258;	15	hardend	1428413758258	
13916	34583.508	4617.088	19;hardstart;1428413784298;	19	hardstart	1428413784298	
14270	34613.431	4647.126	19;hardend;1428413814299;	19	hardend	1428413814299	
14577	34639.517	4673.193	13;hardstart;1428413840340;	13	hardstart	1428413840340	
14931	34669.527	4703.168	13;hardend;1428413870342;	13	hardend	1428413870342	
15237	34695.499	4729.150	12;easystart;1428413896383;	12	easystart	1428413896383	
15591	34725.512	4759.188	12;easyend;1428413926384;	12	easyend	1428413926384	
15898	34751.548	4785.192	7;easystart;1428413952431;	7	easystart	1428413952431	
16253	34781.631	4815.312	7;easyend;1428413982432;	7	easyend	1428413982432	
16254	34781.662	4815.396	100;experimentfinished;1428413982437;	100	experimentfinished	1428413982437	
16609	34870.335	4904.059	e;98.8;1.2	e	98.8	1.2	
16615	34870.778	4904.542	e;98.8;1.2	e	98.8	1.2	
16622	34871.447	4905.151	e;98.8;1.2	e	98.8	1.2	
