Subject:	S912
Project:	BesteRTMusic
Time:	2015-03-09_15-21-09

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
549	55316.372	23981.800	1;baselinestart;1425928916349;	1	baselinestart	1425928916349	
1245	55375.367	24040.850	1;baselineend;1425928975357;	1	baselineend	1425928975357	
1318	55381.608	24047.040	5;easystart;1425928981536;	5	easystart	1425928981536	
1672	55411.589	24077.060	5;easyend;1425929011543;	5	easyend	1425929011543	
1980	55437.671	24103.170	11;easystart;1425929037627;	11	easystart	1425929037627	
2333	55467.638	24133.120	11;easyend;1425929067629;	11	easyend	1425929067629	
2640	55493.672	24159.170	20;hardstart;1425929093678;	20	hardstart	1425929093678	
2994	55523.701	24189.200	20;hardend;1425929123681;	20	hardend	1425929123681	
3301	55549.720	24215.210	16;hardstart;1425929149714;	16	hardstart	1425929149714	
3655	55579.749	24245.240	16;hardend;1425929179717;	16	hardend	1425929179717	
3962	55605.751	24271.290	2;easystart;1425929205776;	2	easystart	1425929205776	
4316	55635.795	24301.330	2;easyend;1425929235779;	2	easyend	1425929235779	
4624	55661.863	24327.440	4;easystart;1425929261833;	4	easystart	1425929261833	
4977	55691.814	24357.370	4;easyend;1425929291836;	4	easyend	1425929291836	
5284	55717.880	24383.440	17;hardstart;1425929317864;	17	hardstart	1425929317864	
5638	55747.862	24413.470	17;hardend;1425929347867;	17	hardend	1425929347867	
5945	55773.881	24439.480	14;hardstart;1425929373914;	14	hardstart	1425929373914	
6299	55803.955	24469.510	14;hardend;1425929403917;	14	hardend	1425929403917	
6920	55856.618	24522.190	10;easystart;1425929456632;	10	easystart	1425929456632	
7274	55886.646	24552.230	10;easyend;1425929486635;	10	easyend	1425929486635	
7581	55912.651	24578.240	21;hardstart;1425929512671;	21	hardstart	1425929512671	
7935	55942.647	24608.270	21;hardend;1425929542674;	21	hardend	1425929542674	
8242	55968.714	24634.320	23;hardstart;1425929568760;	23	hardstart	1425929568760	
8596	55998.743	24664.360	23;hardend;1425929598763;	23	hardend	1425929598763	
8904	56024.826	24690.440	22;hardstart;1425929624823;	22	hardstart	1425929624823	
