Subject:	S1103
Project:	BesteRTMusic
Time:	2015-03-11_13-22-35

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
354	48186.676	2937.529	1;baselinestart;1426094586656;	1	baselinestart	1426094586656	
1050	48245.690	2996.573	1;baselineend;1426094645658;	1	baselineend	1426094645658	
1124	48251.976	3002.832	13;hardstart;1426094651946;	13	hardstart	1426094651946	
1478	48281.946	3032.870	13;hardend;1426094681966;	13	hardend	1426094681966	
1790	48308.433	3059.315	3;easystart;1426094708410;	3	easystart	1426094708410	
2143	48338.417	3089.227	3;easyend;1426094738410;	3	easyend	1426094738410	
2452	48364.564	3115.461	15;hardstart;1426094764502;	15	hardstart	1426094764502	
2805	48394.532	3145.414	15;hardend;1426094794502;	15	hardend	1426094794502	
3113	48420.632	3171.545	22;hardstart;1426094820615;	22	hardstart	1426094820615	
3467	48450.645	3201.581	22;hardend;1426094850615;	22	hardend	1426094850615	
3775	48476.743	3227.669	12;easystart;1426094876709;	12	easystart	1426094876709	
4128	48506.711	3257.623	12;easyend;1426094906709;	12	easyend	1426094906709	
4436	48532.829	3283.753	9;easystart;1426094932754;	9	easystart	1426094932754	
4789	48562.770	3313.707	9;easyend;1426094962760;	9	easyend	1426094962760	
5097	48588.842	3339.816	10;easystart;1426094988811;	10	easystart	1426094988811	
5451	48618.878	3369.832	10;easyend;1426095018817;	10	easyend	1426095018817	
5758	48644.918	3395.899	14;hardstart;1426095044883;	14	hardstart	1426095044883	
6112	48674.936	3425.915	14;hardend;1426095074889;	14	hardend	1426095074889	
7003	48750.512	3501.470	4;easystart;1426095150511;	4	easystart	1426095150511	
7357	48780.564	3531.508	4;easyend;1426095180517;	4	easyend	1426095180517	
7664	48806.588	3557.553	18;hardstart;1426095206561;	18	hardstart	1426095206561	
8018	48836.635	3587.591	18;hardend;1426095236564;	18	hardend	1426095236564	
8329	48863.000	3613.931	17;hardstart;1426095262877;	17	hardstart	1426095262877	
8682	48892.906	3643.883	17;hardend;1426095292880;	17	hardend	1426095292880	
8990	48919.040	3670.014	7;easystart;1426095318950;	7	easystart	1426095318950	
9343	48948.960	3699.967	7;easyend;1426095348954;	7	easyend	1426095348954	
9650	48974.997	3725.991	11;easystart;1426095374991;	11	easystart	1426095374991	
10004	49005.014	3756.009	11;easyend;1426095404994;	11	easyend	1426095404994	
10311	49031.069	3782.075	23;hardstart;1426095431043;	23	hardstart	1426095431043	
10665	49061.085	3812.093	23;hardend;1426095461046;	23	hardend	1426095461046	
10973	49087.169	3838.201	2;easystart;1426095487160;	2	easystart	1426095487160	
11327	49117.200	3868.217	2;easyend;1426095517163;	2	easyend	1426095517163	
11635	49143.314	3894.369	5;easystart;1426095543253;	5	easystart	1426095543253	
11988	49173.254	3924.300	5;easyend;1426095573256;	5	easyend	1426095573256	
12798	49241.974	3993.029	20;hardstart;1426095641956;	20	hardstart	1426095641956	
13152	49271.976	4023.044	20;hardend;1426095671959;	20	hardend	1426095671959	
13459	49298.045	4049.070	8;easystart;1426095698004;	8	easystart	1426095698004	
13813	49328.028	4079.086	8;easyend;1426095728007;	8	easyend	1426095728007	
14120	49354.081	4105.153	6;easystart;1426095754055;	6	easystart	1426095754055	
14474	49384.115	4135.191	6;easyend;1426095784058;	6	easyend	1426095784058	
14781	49410.121	4161.195	21;hardstart;1426095810097;	21	hardstart	1426095810097	
15135	49440.181	4191.232	21;hardend;1426095840100;	21	hardend	1426095840100	
15442	49466.172	4217.278	16;hardstart;1426095866152;	16	hardstart	1426095866152	
15796	49496.236	4247.274	16;hardend;1426095896155;	16	hardend	1426095896155	
16104	49522.303	4273.404	19;hardstart;1426095922242;	19	hardstart	1426095922242	
16457	49552.273	4303.357	19;hardend;1426095952245;	19	hardend	1426095952245	
16458	49552.335	4303.440	100;experimentfinished;1426095952250;	100	experimentfinished	1426095952250	
16814	49661.556	4412.708	e;15.8;84.2	e	15.8	84.2	
16819	49661.977	4413.108	e;0.0;100.0	e	0.0	100.0	
16825	49662.477	4413.611	e;7.3;92.7	e	7.3	92.7	
16831	49663.055	4414.137	h;92.1;7.9	h	92.1	7.9	
16837	49663.524	4414.641	h;54.2;45.8	h	54.2	45.8	
16843	49664.067	4415.166	h;75.5;24.5	h	75.5	24.5	
