Subject:	S1106
Project:	BesteRTMusic
Time:	2015-03-12_16-28-15

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
388	59328.665	27951.920	1;baselinestart;1426192128587;	1	baselinestart	1426192128587	
1083	59387.694	28010.880	1;baselineend;1426192187596;	1	baselineend	1426192187596	
1157	59393.886	28017.150	9;easystart;1426192193827;	9	easystart	1426192193827	
1511	59423.887	28047.180	9;easyend;1426192223831;	9	easyend	1426192223831	
1821	59450.213	28073.480	14;hardstart;1426192250084;	14	hardstart	1426192250084	
2175	59480.214	28103.500	14;hardend;1426192280088;	14	hardend	1426192280088	
2835	59536.220	28159.470	18;hardend;1426192336185;	18	hardend	1426192336185	
3144	59562.443	28185.690	8;easystart;1426192362262;	8	easystart	1426192362262	
3497	59592.331	28215.640	8;easyend;1426192392265;	8	easyend	1426192392265	
3809	59618.791	28242.110	22;hardstart;1426192418676;	22	hardstart	1426192418676	
4163	59648.817	28272.130	22;hardend;1426192448679;	22	hardend	1426192448679	
4470	59674.853	28298.150	13;hardstart;1426192474733;	13	hardstart	1426192474733	
4823	59704.787	28328.100	13;hardend;1426192504736;	13	hardend	1426192504736	
5131	59730.825	28354.230	6;easystart;1426192530787;	6	easystart	1426192530787	
5485	59760.941	28384.270	6;easyend;1426192560790;	6	easyend	1426192560790	
5792	59787.002	28410.270	12;easystart;1426192586876;	12	easystart	1426192586876	
6146	59816.988	28440.310	12;easyend;1426192616879;	12	easyend	1426192616879	
6644	59859.210	28482.550	10;easystart;1426192659101;	10	easystart	1426192659101	
6998	59889.267	28512.590	10;easyend;1426192689104;	10	easyend	1426192689104	
7305	59915.267	28538.590	3;easystart;1426192715159;	3	easystart	1426192715159	
7660	59945.376	28568.720	3;easyend;1426192745162;	3	easyend	1426192745162	
7967	59971.382	28594.760	20;hardstart;1426192771217;	20	hardstart	1426192771217	
8320	60001.319	28624.710	20;hardend;1426192801221;	20	hardend	1426192801221	
8627	60027.402	28650.740	2;easystart;1426192827271;	2	easystart	1426192827271	
8981	60057.326	28680.760	2;easyend;1426192857274;	2	easyend	1426192857274	
9289	60083.495	28706.910	15;hardstart;1426192883321;	15	hardstart	1426192883321	
9641	60113.393	28736.780	15;hardend;1426192913324;	15	hardend	1426192913324	
9949	60139.469	28762.870	16;hardstart;1426192939370;	16	hardstart	1426192939370	
10303	60169.436	28792.900	16;hardend;1426192969374;	16	hardend	1426192969374	
10611	60195.572	28819.030	5;easystart;1426192995433;	5	easystart	1426192995433	
10964	60225.518	28848.990	5;easyend;1426193025436;	5	easyend	1426193025436	
11272	60251.567	28875.070	21;hardstart;1426193051487;	21	hardstart	1426193051487	
11625	60281.559	28905.030	21;hardend;1426193081490;	21	hardend	1426193081490	
12193	60329.734	28953.210	4;easystart;1426193129625;	4	easystart	1426193129625	
12546	60359.711	28983.140	4;easyend;1426193159628;	4	easyend	1426193159628	
12853	60385.718	29009.210	11;easystart;1426193185676;	11	easystart	1426193185676	
13207	60415.740	29039.210	11;easyend;1426193215679;	11	easyend	1426193215679	
13515	60441.854	29065.340	7;easystart;1426193241736;	7	easystart	1426193241736	
