Subject:	S908
Project:	BesteRTMusic
Time:	2015-03-05_17-21-47

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
434	62544.617	1656.754	1;baselinestart;1425594144429;	1	baselinestart	1425594144429	
1130	62603.635	1715.778	1;baselineend;1425594203433;	1	baselineend	1425594203433	
1201	62609.672	1721.807	21;hardstart;1425594209531;	21	hardstart	1425594209531	
1555	62639.672	1751.843	21;hardend;1425594239534;	21	hardend	1425594239534	
1863	62665.817	1777.933	7;easystart;1425594265594;	7	easystart	1425594265594	
2216	62695.726	1807.885	7;easyend;1425594295597;	7	easyend	1425594295597	
2523	62721.779	1833.931	11;easystart;1425594321635;	11	easystart	1425594321635	
2877	62751.779	1863.969	11;easyend;1425594351638;	11	easyend	1425594351638	
3184	62777.818	1889.993	16;hardstart;1425594377672;	16	hardstart	1425594377672	
3538	62807.817	1920.010	16;hardend;1425594407675;	16	hardend	1425594407675	
3845	62833.900	1946.077	5;easystart;1425594433729;	5	easystart	1425594433729	
4199	62863.900	1976.093	5;easyend;1425594463732;	5	easyend	1425594463732	
4507	62890.034	2002.202	12;easystart;1425594489812;	12	easystart	1425594489812	
4860	62919.971	2032.156	12;easyend;1425594519815;	12	easyend	1425594519815	
5168	62946.054	2058.286	3;easystart;1425594545879;	3	easystart	1425594545879	
5521	62976.038	2088.239	3;easyend;1425594575882;	3	easyend	1425594575882	
5829	63002.123	2114.328	10;easystart;1425594601917;	10	easystart	1425594601917	
6183	63032.157	2144.365	10;easyend;1425594631920;	10	easyend	1425594631920	
6561	63064.214	2176.439	19;hardstart;1425594663998;	19	hardstart	1425594663998	
6914	63094.184	2206.393	19;hardend;1425594694000;	19	hardend	1425594694000	
7221	63120.191	2232.418	6;easystart;1425594720048;	6	easystart	1425594720048	
7576	63150.253	2262.519	6;easyend;1425594750051;	6	easyend	1425594750051	
7882	63176.275	2288.502	17;hardstart;1425594776083;	17	hardstart	1425594776083	
8236	63206.274	2318.517	17;hardend;1425594806086;	17	hardend	1425594806086	
8543	63232.266	2344.542	14;hardstart;1425594832124;	14	hardstart	1425594832124	
8897	63262.313	2374.580	14;hardend;1425594862127;	14	hardend	1425594862127	
9203	63288.287	2400.542	2;easystart;1425594888161;	2	easystart	1425594888161	
9557	63318.320	2430.537	2;easyend;1425594918164;	2	easyend	1425594918164	
9865	63344.389	2456.667	13;hardstart;1425594944197;	13	hardstart	1425594944197	
10219	63374.435	2486.704	13;hardend;1425594974200;	13	hardend	1425594974200	
10525	63400.411	2512.687	8;easystart;1425595000235;	8	easystart	1425595000235	
10880	63430.489	2542.746	8;easyend;1425595030238;	8	easyend	1425595030238	
11186	63456.401	2568.729	18;hardstart;1425595056271;	18	hardstart	1425595056271	
11540	63486.451	2598.766	18;hardend;1425595086274;	18	hardend	1425595086274	
11887	63515.841	2628.173	23;hardstart;1425595115692;	23	hardstart	1425595115692	
12240	63545.825	2658.104	23;hardend;1425595145695;	23	hardend	1425595145695	
12548	63571.928	2684.257	20;hardstart;1425595171755;	20	hardstart	1425595171755	
12901	63601.896	2714.209	20;hardend;1425595201758;	20	hardend	1425595201758	
13209	63627.979	2740.297	4;easystart;1425595227790;	4	easystart	1425595227790	
13563	63657.981	2770.335	4;easyend;1425595257793;	4	easyend	1425595257793	
13869	63683.970	2796.297	9;easystart;1425595283826;	9	easystart	1425595283826	
14223	63713.988	2826.334	9;easyend;1425595313829;	9	easyend	1425595313829	
14531	63740.073	2852.422	15;hardstart;1425595339877;	15	hardstart	1425595339877	
14884	63770.011	2882.376	15;hardend;1425595369880;	15	hardend	1425595369880	
15191	63796.062	2908.442	22;hardstart;1425595395911;	22	hardstart	1425595395911	
15545	63826.094	2938.438	22;hardend;1425595425914;	22	hardend	1425595425914	
15546	63826.218	2938.564	100;experimentfinished;1425595425919;	100	experimentfinished	1425595425919	
15901	63885.393	2997.755	h;97.1;2.9	h	97.1	2.9	
15907	63885.893	2998.239	e;0.0;100.0	e	0.0	100.0	
15913	63886.376	2998.744	e;13.0;87.0	e	13.0	87.0	
15919	63886.874	2999.268	e;4.6;95.4	e	4.6	95.4	
15925	63887.373	2999.752	h;100.0;0.0	h	100.0	0.0	
15931	63887.937	3000.297	h;100.0;0.0	h	100.0	0.0	
15937	63888.420	3000.780	h;100.0;0.0	h	100.0	0.0	
15943	63888.948	3001.306	e;0.0;100.0	e	0.0	100.0	
15949	63889.434	3001.809	e;0.0;100.0	e	0.0	100.0	
15955	63889.918	3002.314	e;0.4;99.6	e	0.4	99.6	
15961	63890.449	3002.840	e;0.0;100.0	e	0.0	100.0	
15967	63890.917	3003.322	e;15.3;84.7	e	15.3	84.7	
15973	63891.476	3003.848	e;0.0;100.0	e	0.0	100.0	
15979	63891.976	3004.352	e;0.0;100.0	e	0.0	100.0	
15985	63892.507	3004.876	e;0.0;100.0	e	0.0	100.0	
15991	63892.976	3005.381	e;0.0;100.0	e	0.0	100.0	
15997	63893.506	3005.865	h;100.0;0.0	h	100.0	0.0	
16004	63894.097	3006.473	e;0.0;100.0	e	0.0	100.0	
16009	63894.504	3006.894	h;97.6;2.4	h	97.6	2.4	
