Subject:	S1113
Project:	BesteRTMusic
Time:	2015-04-03_11-25-55

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
549	41202.321	3297.742	1;baselinestart;1428074803276;	1	baselinestart	1428074803276	
1245	41261.287	3356.767	1;baselineend;1428074862308;	1	baselineend	1428074862308	
1320	41267.721	3363.151	14;hardstart;1428074868702;	14	hardstart	1428074868702	
1674	41297.808	3393.146	14;hardend;1428074898703;	14	hardend	1428074898703	
1982	41323.891	3419.298	8;easystart;1428074924872;	8	easystart	1428074924872	
2336	41353.922	3449.314	8;easyend;1428074954874;	8	easyend	1428074954874	
2644	41380.063	3475.466	6;easystart;1428074980968;	6	easystart	1428074980968	
2997	41409.989	3505.377	6;easyend;1428075010965;	6	easyend	1428075010965	
3305	41436.096	3531.507	19;hardstart;1428075036987;	19	hardstart	1428075036987	
3659	41466.136	3561.543	19;hardend;1428075066924;	19	hardend	1428075066924	
3965	41492.089	3587.506	23;hardstart;1428075092911;	23	hardstart	1428075092911	
4320	41522.190	3617.585	23;hardend;1428075122847;	23	hardend	1428075122847	
4628	41548.258	3643.714	17;hardstart;1428075148848;	17	hardstart	1428075148848	
4981	41578.253	3673.668	17;hardend;1428075178785;	17	hardend	1428075178785	
5288	41604.226	3699.714	12;easystart;1428075204797;	12	easystart	1428075204797	
5643	41634.407	3729.794	12;easyend;1428075234733;	12	easyend	1428075234733	
5949	41660.326	3755.777	21;hardstart;1428075260753;	21	hardstart	1428075260753	
6303	41690.328	3785.793	21;hardend;1428075290689;	21	hardend	1428075290689	
6938	41744.183	3839.671	2;easystart;1428075344430;	2	easystart	1428075344430	
7292	41774.151	3869.666	2;easyend;1428075374409;	2	easyend	1428075374409	
7599	41800.176	3895.714	9;easystart;1428075400448;	9	easystart	1428075400448	
7953	41830.251	3925.750	9;easyend;1428075430427;	9	easyend	1428075430427	
8261	41856.313	3951.880	18;hardstart;1428075456479;	18	hardstart	1428075456479	
8614	41886.277	3981.792	18;hardend;1428075486457;	18	hardend	1428075486457	
8922	41912.316	4007.921	7;easystart;1428075512495;	7	easystart	1428075512495	
9275	41942.353	4037.875	7;easyend;1428075542473;	7	easyend	1428075542473	
9583	41968.498	4064.005	16;hardstart;1428075568519;	16	hardstart	1428075568519	
9936	41998.364	4093.916	16;hardend;1428075598498;	16	hardend	1428075598498	
10243	42024.435	4119.983	4;easystart;1428075624534;	4	easystart	1428075624534	
10597	42054.409	4150.019	4;easyend;1428075654528;	4	easyend	1428075654528	
10905	42080.567	4176.109	22;hardstart;1428075680576;	22	hardstart	1428075680576	
11259	42110.640	4206.124	22;hardend;1428075710570;	22	hardend	1428075710570	
11565	42136.508	4232.108	11;easystart;1428075736606;	11	easystart	1428075736606	
11919	42166.586	4262.145	11;easyend;1428075766599;	11	easyend	1428075766599	
12289	42197.891	4293.527	3;easystart;1428075797905;	3	easystart	1428075797905	
12642	42227.799	4323.480	3;easyend;1428075827899;	3	easyend	1428075827899	
12950	42253.959	4349.568	5;easystart;1428075853944;	5	easystart	1428075853944	
13303	42283.902	4379.520	5;easyend;1428075883937;	5	easyend	1428075883937	
13610	42309.923	4405.568	13;hardstart;1428075909977;	13	hardstart	1428075909977	
13964	42339.950	4435.604	13;hardend;1428075939977;	13	hardend	1428075939977	
14271	42366.078	4461.630	10;easystart;1428075966018;	10	easystart	1428075966018	
14625	42395.966	4491.646	10;easyend;1428075996018;	10	easyend	1428075996018	
14933	42422.089	4517.796	15;hardstart;1428076022093;	15	hardstart	1428076022093	
15286	42452.099	4547.728	15;hardend;1428076052092;	15	hardend	1428076052092	
15594	42478.167	4573.838	20;hardstart;1428076078164;	20	hardstart	1428076078164	
15947	42508.099	4603.791	20;hardend;1428076108164;	20	hardend	1428076108164	
15948	42508.133	4603.875	100;experimentfinished;1428076108169;	100	experimentfinished	1428076108169	
16303	42570.671	4666.386	h;77.3;22.7	h	77.3	22.7	
