S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
0.5489,0.64121,0.61276,0.60565,0.074968,0.15246,0.028269,-0.056531,0.49688,0.27774,0.22121,0.23846,0.87919,0.79613,0.86902,1.0256,0.034834,0.036547,0.034092,0.035702,0.010993,0.013149,0.0066398,-0.0006938,0.029627,0.022334,0.018261,0.022272,0.045317,0.045156,0.049485,0.063401,15
0.17522,-0.0077373,0.0022511,0.1283,0.4048,0.39482,0.71168,0.83773,0.53249,0.79159,1.0583,1.5696,0.0096966,0.22353,0.30794,0.83555,0.0061504,-0.0030844,-0.0013518,0.0088142,0.018196,0.019049,0.032916,0.039465,0.011441,0.026235,0.048746,0.077516,-0.0067774,0.0046149,0.015157,0.043792,15
-0.031308,-0.083748,-0.14154,-0.16453,-0.055926,-0.062601,-0.092938,-0.031232,-0.52117,-0.53218,-0.31278,-0.35108,-0.40299,-0.47284,-0.34863,-0.42377,-0.0092937,-0.011844,-0.019424,-0.025006,-0.0074999,-0.0083541,-0.014814,-0.012101,-0.051614,-0.053041,-0.040438,-0.049708,-0.048512,-0.057204,-0.048775,-0.063154,15
0.040991,0.021646,0.034304,0.053138,0.1799,0.18399,0.36009,0.40645,-0.32044,-0.10293,0.29421,0.51409,-0.47434,-0.45211,-0.31662,-0.1496,0.0050356,0.0065508,0.012018,0.019545,0.0092462,0.0097734,0.01625,0.016919,-0.014187,-0.0028578,0.016805,0.030621,-0.020242,-0.015525,-0.0062432,0.0033284,15
0.37225,0.4609,0.50388,0.53728,0.35278,0.34954,0.45895,0.3189,0.60401,0.59657,0.49528,0.38078,0.54353,0.48068,0.44265,0.37132,0.030344,0.03686,0.041458,0.041297,0.023594,0.025634,0.038304,0.029533,0.057566,0.057719,0.046832,0.04168,0.059299,0.055612,0.048753,0.047463,15
-0.037436,-0.17713,-0.21941,-0.29347,0.15516,0.075249,0.19537,0.26125,-0.33473,-0.18772,-0.047325,0.11202,-0.5107,-0.38509,-0.27992,-0.097031,-5.2224e-005,-0.0067101,-0.010833,-0.014349,0.012734,0.014536,0.032509,0.037856,-0.029635,-0.022096,-0.0062981,0.0039104,-0.046502,-0.03991,-0.027892,-0.015615,15
0.42166,0.418,0.40028,0.35512,0.40631,0.42325,0.74457,0.71274,0.18759,0.33064,0.42701,0.53273,0.11791,0.15196,0.19351,0.35764,0.018544,0.019171,0.017165,0.019451,0.026239,0.030384,0.049821,0.04594,0.011698,0.019586,0.035765,0.047126,-0.0040732,0.00039347,0.011294,0.029287,15
0.24333,0.081996,0.126,0.1789,0.51558,0.47707,0.98009,1.0365,-0.18211,0.036624,0.41359,0.62539,-0.74792,-0.59843,-0.29875,-0.047904,0.029468,0.024438,0.034047,0.041673,0.029948,0.028247,0.052323,0.053386,-0.0037736,0.0035124,0.016038,0.025036,-0.018211,-0.0085741,0.0069735,0.019514,15
0.41659,0.51651,0.56254,0.51917,0.30683,0.41524,0.89358,1.0674,0.66642,0.75652,0.74186,0.78359,0.68023,0.55872,0.39548,0.45042,0.021089,0.029251,0.027985,0.022835,0.01583,0.027103,0.060926,0.074481,0.056941,0.063252,0.056414,0.054293,0.058722,0.046165,0.030448,0.029984,15
0.16506,0.10904,-0.062204,-0.16958,0.44293,0.47844,0.91255,1.0528,0.011613,0.21773,0.31224,0.40606,-0.5461,-0.59533,-0.54477,-0.41103,0.0085682,0.0065355,0.0016952,-0.0023715,0.023522,0.02777,0.050637,0.053698,-0.0028151,0.0052109,0.0095481,0.013663,-0.032617,-0.031811,-0.025731,-0.019519,15
