S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
0.015386,0.11873,0.12083,0.10413,-0.19093,-0.23105,-0.2112,-0.17636,-0.70136,-0.84706,-0.85495,-0.81457,-0.021621,0.084794,0.18312,0.14605,-0.012446,-0.0079222,-0.010108,-0.016022,-0.016829,-0.020452,-0.021337,-0.022737,-0.067571,-0.074649,-0.074429,-0.076418,-0.049875,-0.036285,-0.021294,-0.024769,15
0.16494,0.23237,0.19446,0.11863,-0.44578,-0.55302,-0.45507,-0.42324,-0.51901,-0.73164,-0.71487,-0.764,0.51056,0.57674,0.59393,0.59933,0.0051564,0.0075665,0.003858,0.00040965,-0.036569,-0.050416,-0.04871,-0.051807,-0.047678,-0.068009,-0.072057,-0.082564,0.025974,0.029962,0.03315,0.033297,15
-0.57135,-0.53889,-0.53052,-0.47197,-0.31624,-0.27695,-0.13205,-0.045794,-0.51109,-0.35012,-0.20224,-0.17591,-0.82232,-0.8343,-0.76099,-0.74,-0.034462,-0.034143,-0.032954,-0.030087,-0.012441,-0.011087,-0.0064438,-0.0046702,-0.037171,-0.027782,-0.01869,-0.019551,-0.06081,-0.05783,-0.049587,-0.048297,15
-0.29557,-0.33201,-0.38527,-0.46181,0.03673,0.13475,0.24862,0.3687,-0.48813,-0.36343,-0.042589,0.17127,-0.75023,-0.71102,-0.53167,-0.55686,-0.026656,-0.033366,-0.041969,-0.052411,-0.006219,-0.004367,-0.00090898,0.0014581,-0.037078,-0.030412,-0.016434,-0.0093927,-0.068383,-0.064664,-0.051457,-0.053439,15
0.0040801,0.038115,0.074634,-0.0084842,-0.14224,-0.068943,0.023228,0.056935,-0.5704,-0.54817,-0.49922,-0.50188,-0.51737,-0.36556,-0.21192,-0.19031,-0.020218,-0.023242,-0.026245,-0.035858,-0.013122,-0.015169,-0.017685,-0.024551,-0.01877,-0.022557,-0.027949,-0.036004,-0.040525,-0.034636,-0.027963,-0.031233,15
-0.52244,-0.56918,-0.68534,-0.78132,-0.49101,-0.40181,-0.21606,-0.11396,-0.43104,-0.2082,0.084774,0.26042,-0.76078,-0.80222,-0.66526,-0.7055,-0.039157,-0.041901,-0.047061,-0.053755,-0.034768,-0.027928,-0.0134,-0.0054108,-0.050771,-0.039177,-0.022664,-0.016544,-0.080172,-0.074991,-0.058759,-0.05834,15
-0.62215,-0.67433,-0.69166,-0.79147,-0.034689,0.15407,0.35516,0.46815,-0.39538,0.01162,0.39916,0.62838,-1.4911,-1.5552,-1.3803,-1.436,-0.033001,-0.035618,-0.038038,-0.047861,-0.008835,-0.00055107,0.0090751,0.012096,-0.029471,-0.0078125,0.013379,0.021084,-0.10146,-0.10009,-0.082268,-0.08559,15
-0.29487,-0.30399,-0.29326,-0.27576,-0.29282,-0.34576,-0.35117,-0.39536,-0.51709,-0.66486,-0.66803,-0.82802,-0.10969,-0.11722,-0.085631,-0.16627,-0.030754,-0.035268,-0.039513,-0.042186,-0.016333,-0.023499,-0.032895,-0.044117,-0.038063,-0.049774,-0.055247,-0.073042,-0.02601,-0.023979,-0.015788,-0.01701,15
-0.74457,-0.7518,-0.84609,-0.92859,-0.28245,-0.217,-0.11918,-0.058115,-0.49191,-0.42761,-0.2866,-0.28871,-1.1217,-1.0665,-0.89596,-0.98588,-0.051238,-0.052714,-0.059025,-0.066504,-0.011905,-0.0083097,-0.0053537,-0.0052547,-0.02085,-0.020501,-0.016413,-0.017878,-0.075153,-0.072943,-0.061567,-0.067215,15
-0.037184,-0.07695,-0.062943,-0.17451,-0.1711,-0.20904,-0.22562,-0.35356,-0.41803,-0.55954,-0.64597,-0.75339,-0.32617,-0.30471,-0.28404,-0.27841,-0.013669,-0.015635,-0.0097954,-0.01171,-0.012571,-0.016132,-0.017754,-0.027594,-0.018357,-0.028724,-0.036849,-0.045853,-0.026075,-0.027372,-0.026348,-0.028737,15
