S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
0.39826,0.52905,0.61041,0.75009,-0.25486,-0.3297,-0.24392,-0.12546,-0.37405,-0.66888,-0.68785,-0.63788,1.1334,1.1311,1.0839,1.2178,0.021962,0.030692,0.03656,0.04476,-0.018879,-0.02083,-0.013355,-0.0038711,-0.041095,-0.061172,-0.060179,-0.059044,0.051621,0.053955,0.056954,0.063946,17
1.6139,1.7573,1.8504,1.925,0.78763,0.98511,1.0836,1.2915,0.50636,0.56273,0.70705,1.0097,1.5665,1.6395,1.6471,1.9177,0.10206,0.11145,0.11906,0.12331,0.031111,0.039158,0.046678,0.056717,-0.0018786,-0.0050697,-0.00022502,0.0099617,0.087283,0.098274,0.10368,0.12017,17
1.0958,1.3543,1.6553,2.0281,0.84986,1.0475,1.0841,1.2628,0.64107,0.65487,0.63768,0.71544,1.5605,1.4335,1.2627,1.3464,0.095013,0.11183,0.13069,0.15101,0.061128,0.07314,0.073665,0.083204,0.040662,0.038748,0.0339,0.035193,0.10304,0.10382,0.09883,0.10613,17
1.1012,1.2866,1.4758,1.7092,0.45752,0.55892,0.62594,0.83997,0.17692,-0.015432,-0.25559,-0.3657,1.6656,1.747,1.6011,1.7991,0.064692,0.075276,0.08677,0.095257,0.042603,0.049734,0.049209,0.057017,0.0083672,-0.00015884,-0.015576,-0.025188,0.05904,0.0677,0.063958,0.073545,17
0.23881,0.1958,0.014603,-0.090615,-0.2143,-0.42771,-0.54872,-0.63199,-0.49617,-0.56939,-0.57366,-0.61429,0.31778,0.3342,0.41822,0.56478,0.0098994,0.006039,-0.0067529,-0.018322,-0.011194,-0.024762,-0.035379,-0.044783,-0.025931,-0.028082,-0.035982,-0.044013,-0.0027116,0.0081151,0.017249,0.026095,17
0.43855,0.58777,0.68021,0.71624,0.87145,1.1388,1.1865,1.4451,0.24572,0.54516,0.56751,0.70479,-0.30315,-0.22685,-0.13012,0.092428,0.011539,0.019353,0.024356,0.02385,0.05207,0.069972,0.073124,0.086148,0.023847,0.038922,0.035902,0.035264,-0.035614,-0.023172,-0.012348,-0.0031398,17
0.19504,0.18873,-0.026657,-0.27322,0.05357,0.08354,0.028789,0.0037965,-0.4924,-0.39968,-0.43813,-0.47509,-0.46139,-0.17785,0.036781,0.19536,0.022258,0.025885,0.019948,0.0060126,0.0018921,0.0087694,0.0079673,0.0045299,-0.00020593,0.00060461,-0.0090145,-0.017528,-0.0069865,0.017909,0.033267,0.039813,17
0.68042,0.83286,1.04,1.3334,0.54737,0.52461,0.46182,0.53516,-0.43253,-0.41323,-0.40139,-0.35618,0.5206,0.53665,0.62416,0.89246,0.032796,0.041635,0.047415,0.051186,0.048373,0.051321,0.045274,0.046983,-0.023372,-0.012595,-0.011918,-0.0097047,-0.015169,-4.0391e-005,0.019353,0.042475,17
-0.080637,0.074921,0.23878,0.58349,0.20255,0.52235,0.74945,1.1733,-0.94429,-0.55539,-0.27832,0.032587,-0.74992,-0.60493,-0.59322,-0.32996,-0.031735,-0.020062,-0.011366,0.0005988,0.012094,0.03548,0.051389,0.074386,-0.040788,-0.014859,-0.001969,0.0074231,-0.084271,-0.063803,-0.05053,-0.038415,17
0.21866,0.21776,-0.0091788,-0.25216,-0.025809,-0.014441,0.0078476,0.0038538,-0.29962,-0.072818,0.022492,0.11819,0.034184,0.17324,0.28941,0.49221,0.0049036,0.0061561,-0.0043563,-0.023632,-0.0037508,-0.0035531,-0.003276,-0.0089028,-0.013647,-0.0089188,-0.010583,-0.012953,-0.012649,0.0014067,0.014582,0.02369,17
0.26588,0.25014,0.1535,0.12598,0.1775,0.14573,0.072938,0.089425,0.091658,0.12601,0.13148,0.2037,0.23674,0.2269,0.19765,0.26569,0.011571,0.010862,0.0066693,0.0052925,0.007563,0.006208,0.003073,0.0036816,0.0034438,0.0046639,0.0046993,0.0077335,0.0098783,0.009584,0.0082882,0.011279,17
