S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
-1.1533,-1.0784,-1.0674,-1.0914,-0.8683,-0.95232,-1.0306,-1.1517,-1.1924,-0.98907,-1.1754,-1.517,-1.1034,-1.0623,-1.0056,-1.1471,-0.076146,-0.075756,-0.078856,-0.084033,-0.023493,-0.032366,-0.040726,-0.053116,-0.052596,-0.045861,-0.057184,-0.078235,-0.074299,-0.069634,-0.06523,-0.071566,15
0.4165,0.35079,0.31466,0.31559,0.48117,0.45578,0.41748,0.36444,0.52389,0.40127,0.43901,0.53066,0.46274,0.45581,0.38718,0.45609,0.044842,0.039804,0.037159,0.037781,0.034943,0.035372,0.034795,0.033643,0.046495,0.036953,0.0424,0.052202,0.047328,0.04569,0.039657,0.044606,15
-0.32088,-0.46609,-0.5445,-0.62489,0.083972,0.029605,-0.0096832,0.070296,-0.12822,-0.13613,-0.14387,-0.14166,-0.38328,-0.3783,-0.3534,-0.38872,-0.016826,-0.025433,-0.031325,-0.035334,0.01084,0.010392,0.0082887,0.012512,0.0045393,0.0036918,0.0042327,0.0097195,-0.017913,-0.01784,-0.017449,-0.018129,15
0.056085,0.081481,0.076809,0.15872,-0.0319,-0.026354,-0.079877,-0.10956,-0.048193,-0.027768,-0.11409,-0.21056,0.0043264,0.027925,-0.0059712,0.015082,0.00231,0.0038518,0.0032974,0.0093219,0.0094704,0.0079718,0.0026595,-0.004132,0.0072819,0.0061442,0.00020866,-0.0052246,0.00043173,0.0023621,0.00067755,0.0035815,15
-0.23287,-0.28847,-0.38985,-0.40854,-0.008629,-0.061797,-0.097606,-0.042997,0.15211,0.10964,0.043058,0.093463,-0.063285,-0.069235,-0.11557,-0.096226,-0.025239,-0.030999,-0.0376,-0.041091,-0.0026115,-0.0051533,-0.0062973,-0.0011898,0.0090838,0.0095582,0.0046907,0.01052,-0.0096919,-0.010084,-0.015377,-0.015992,15
-0.41929,-0.48588,-0.62585,-0.69652,-0.20998,-0.27487,-0.46575,-0.51818,-0.30676,-0.22809,-0.44723,-0.67703,-0.31826,-0.25889,-0.27297,-0.29309,-0.053953,-0.06257,-0.075662,-0.08903,-0.019416,-0.023958,-0.03631,-0.041022,-0.032675,-0.024878,-0.037712,-0.04695,-0.052247,-0.047235,-0.046495,-0.053108,15
-0.45393,-0.51201,-0.54796,-0.63819,-0.23891,-0.31737,-0.32589,-0.26154,-0.53221,-0.51569,-0.56587,-0.6274,-0.49601,-0.47688,-0.4253,-0.47533,-0.043853,-0.049703,-0.050844,-0.05453,-0.018734,-0.025096,-0.025589,-0.021925,-0.034209,-0.033795,-0.039943,-0.046814,-0.037798,-0.036276,-0.033516,-0.037648,15
-0.10341,-0.13026,-0.2102,-0.27078,-0.14265,-0.23255,-0.30074,-0.31275,-0.35798,-0.33959,-0.46172,-0.56846,-0.34014,-0.3123,-0.3587,-0.38712,-0.013509,-0.01686,-0.021565,-0.024447,-0.0085462,-0.015621,-0.019641,-0.019085,-0.025378,-0.024035,-0.029533,-0.033284,-0.036741,-0.03302,-0.033811,-0.036399,15
-0.33696,-0.44614,-0.46089,-0.53631,-0.03863,-0.073808,-0.094256,-0.10719,-0.36878,-0.37433,-0.32932,-0.40434,-0.49894,-0.4532,-0.30404,-0.34776,-0.042236,-0.049272,-0.04841,-0.052833,-0.019258,-0.02012,-0.022536,-0.022959,-0.028851,-0.025864,-0.023156,-0.028287,-0.039754,-0.037925,-0.028866,-0.034888,15
-0.75278,-0.84321,-0.93014,-1.0383,-0.4335,-0.52775,-0.6183,-0.57759,-0.35453,-0.21672,-0.32723,-0.38217,-0.6423,-0.63849,-0.70747,-0.82769,-0.036619,-0.043145,-0.04851,-0.054709,-0.01379,-0.016985,-0.018324,-0.010478,-0.0075463,-0.0054729,-0.014434,-0.014754,-0.029243,-0.030744,-0.03835,-0.04219,15
