S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
-0.24078,-0.28017,-0.3288,-0.42929,-0.28338,-0.30146,-0.36023,-0.41369,-0.23324,-0.32991,-0.48888,-0.61524,-0.12592,-0.13633,-0.13035,-0.12678,-0.020013,-0.02313,-0.026428,-0.031646,-0.020495,-0.022187,-0.023849,-0.024944,-0.016525,-0.020758,-0.030211,-0.034823,-0.009928,-0.010107,-0.010098,-0.007859,15
0.44387,0.27281,0.26378,0.34608,-0.053911,-0.19053,-0.2537,-0.26323,0.015778,0.08248,-0.026162,0.10533,0.14855,0.16495,0.11058,0.13754,0.033725,0.022856,0.020379,0.023834,0.016241,0.0067515,-0.0014545,-0.0088902,0.020554,0.020145,0.014248,0.026408,0.0098302,0.011015,0.0085283,0.011795,17
-0.25046,-0.33045,-0.41844,-0.56374,0.014258,0.0036475,0.010601,0.053689,-0.34151,-0.26605,-0.31076,-0.36358,-0.46276,-0.4784,-0.45903,-0.54915,-0.024773,-0.032473,-0.038742,-0.049667,0.0011066,0.0017235,0.0027455,0.0078712,-0.019037,-0.014236,-0.015634,-0.017886,-0.039618,-0.039563,-0.037213,-0.043327,17
-0.13484,-0.20383,-0.2986,-0.34692,-0.032084,-0.10394,-0.16198,-0.17297,-0.2411,-0.17049,-0.17093,-0.17941,-0.24635,-0.20469,-0.19848,-0.23841,-0.016116,-0.022708,-0.02938,-0.034236,-0.0086832,-0.012902,-0.015346,-0.013315,-0.013732,-0.0019687,-0.0054795,-0.0019152,-0.023389,-0.018684,-0.019096,-0.022169,17
-0.17733,-0.2206,-0.2056,-0.20166,-0.047414,-0.06143,0.01035,0.1899,-0.13138,0.01551,0.0089448,-0.034438,-0.47459,-0.45201,-0.42128,-0.51277,-0.00034744,-0.0049002,-0.0077633,-0.0069709,0.012018,0.010878,0.012944,0.021797,0.013986,0.021528,0.021999,0.023637,-0.013042,-0.012622,-0.012604,-0.015809,17
-0.32396,-0.43455,-0.53349,-0.66038,0.12343,0.086011,0.038714,-0.019973,0.094336,0.24222,0.37035,0.43708,-0.29185,-0.201,-0.052017,-0.098856,-0.031948,-0.038626,-0.042476,-0.054254,0.0082845,0.011024,0.013745,0.012336,-0.0008229,0.0090015,0.010228,0.016196,-0.030017,-0.026865,-0.023238,-0.026991,17
-0.35406,-0.45109,-0.55526,-0.66408,-0.27261,-0.29339,-0.35411,-0.29702,-0.50116,-0.47245,-0.60492,-0.60354,-0.45856,-0.4478,-0.50317,-0.55339,-0.031807,-0.037178,-0.041178,-0.045945,-0.01489,-0.015696,-0.015671,-0.0090837,-0.03105,-0.030112,-0.037498,-0.03672,-0.04037,-0.039012,-0.042141,-0.04654,17
-0.43001,-0.41698,-0.3796,-0.37854,-0.26948,-0.23336,-0.1766,-0.17011,-0.31207,-0.30618,-0.39589,-0.54956,-0.16702,-0.16222,-0.12568,-0.15876,-0.023168,-0.020274,-0.017086,-0.015055,-0.016028,-0.013765,-0.011053,-0.011755,-0.019587,-0.018924,-0.027006,-0.037916,-0.0066549,-0.0058528,-0.0058868,-0.0071201,17
-0.12502,-0.17197,-0.22953,-0.30917,-0.040897,-0.047967,-0.077931,-0.016868,-0.26105,-0.17647,-0.13188,-0.09971,-0.30738,-0.27969,-0.24413,-0.32612,-0.0021495,-0.0044988,-0.0077126,-0.010945,-0.004523,-0.0015321,0.00050464,0.0075967,-0.010147,-0.0039388,0.0010652,0.0090131,-0.016141,-0.01481,-0.013097,-0.015149,17
-0.31011,-0.32048,-0.392,-0.47451,-0.20453,-0.2201,-0.22946,-0.19166,-0.17535,-0.11194,-0.138,-0.042611,-0.22666,-0.22602,-0.25597,-0.28269,-0.0371,-0.041158,-0.045848,-0.049615,-0.017798,-0.022389,-0.02269,-0.016778,-0.014781,-0.0080187,-0.010249,-0.0020819,-0.030567,-0.029577,-0.033368,-0.036241,17
-0.37834,-0.4615,-0.52446,-0.61547,-0.17728,-0.27059,-0.30096,-0.28925,-0.56412,-0.48834,-0.52949,-0.55943,-0.62965,-0.57015,-0.52292,-0.58219,-0.020656,-0.028667,-0.031409,-0.03436,-0.0065492,-0.014245,-0.016335,-0.014727,-0.032766,-0.028722,-0.029982,-0.031578,-0.040225,-0.036703,-0.033391,-0.037333,17
0.0017277,0.017324,0.011703,-0.0035023,0.021621,0.045117,0.037528,0.031808,0.05292,0.056872,0.057234,0.062936,0.060549,0.054105,0.044814,0.054848,-0.0013759,-0.00086159,-0.0011969,-0.0020196,6.2304e-005,0.000878,0.00054959,0.00046179,0.0013205,0.0015962,0.0014221,0.0016296,0.0014866,0.0012602,0.00088805,0.0011983,17
